order_item_sk,date_id,channel_sk,store_sk,customer_sk,location_sk,product_sk,quantity,unit_price,discount_amount,line_total
64,20240114,2,3.0,1005,3,1,1,10800.0,540.0,10260.0
65,20240927,1,,790,33,1,1,10800.0,540.0,10260.0
66,20240521,1,,665,2043,1,3,13200.0,0.0,39600.0
67,20250902,1,,562,1135,2,2,15000.0,600.0,29400.0
68,20250902,1,,562,1135,2,3,15000.0,900.0,44100.0
69,20240201,1,,998,1984,1,3,12000.0,0.0,36000.0
70,20240112,1,,276,493,2,2,16500.0,0.0,33000.0
71,20240308,2,2.0,1469,2,1,1,12000.0,1200.0,10800.0
72,20240913,2,2.0,408,2,1,2,12000.0,480.0,23520.0
73,20240811,2,2.0,1360,2,2,3,13500.0,0.0,40500.0
74,20240725,1,,1423,665,2,2,15000.0,1500.0,28500.0
75,20240915,1,,741,1867,2,2,15750.0,630.0,30870.0
76,20241104,1,,969,1612,1,3,12000.0,720.0,35280.0
77,20241104,1,,969,1612,1,3,12000.0,720.0,35280.0
78,20240810,1,,729,458,2,2,15000.0,3000.0,27000.0
79,20240316,2,4.0,251,4,1,1,12600.0,252.0,12348.0
80,20250723,2,1.0,1087,1,2,3,15000.0,2250.0,42750.0
81,20250412,1,,659,1891,1,2,12000.0,0.0,24000.0
82,20250412,1,,659,1891,2,3,16500.0,2475.0,47025.0
83,20250221,2,4.0,338,4,2,1,15000.0,750.0,14250.0
84,20250221,2,4.0,338,4,2,1,15750.0,1575.0,14175.0
85,20240921,1,,1068,2075,2,1,16500.0,1650.0,14850.0
86,20240921,1,,1068,2075,2,2,15000.0,1500.0,28500.0
87,20240701,1,,958,2539,1,3,12000.0,1800.0,34200.0
88,20240701,1,,958,2539,2,2,15000.0,0.0,30000.0
89,20240225,2,4.0,428,4,1,3,10800.0,3240.0,29160.0
90,20250301,1,,1337,88,1,1,12000.0,0.0,12000.0
91,20241223,2,3.0,1442,3,2,3,15000.0,0.0,45000.0
92,20240530,1,,939,410,1,3,12600.0,756.0,37044.0
93,20250304,1,,1409,311,2,1,16500.0,1650.0,14850.0
94,20240917,1,,1062,1403,1,3,12000.0,720.0,35280.0
95,20240126,1,,988,138,1,3,12000.0,720.0,35280.0
96,20250411,1,,778,1252,2,1,15000.0,300.0,14700.0
97,20241201,1,,77,624,2,1,15750.0,315.0,15435.0
98,20241201,1,,77,624,1,2,12000.0,0.0,24000.0
99,20241201,1,,77,624,2,3,15000.0,0.0,45000.0
100,20240612,1,,700,480,2,3,15000.0,900.0,44100.0
101,20250725,1,,425,432,1,1,12000.0,0.0,12000.0
102,20240722,2,3.0,1271,3,1,1,12000.0,240.0,11760.0
103,20240202,1,,1129,2540,2,1,13500.0,675.0,12825.0
104,20241207,1,,1224,1123,2,1,15750.0,315.0,15435.0
105,20241214,1,,446,2068,1,2,12600.0,1260.0,23940.0
106,20241214,1,,446,2068,1,3,12000.0,3600.0,32400.0
107,20250322,1,,867,2685,2,2,15000.0,600.0,29400.0
108,20240301,1,,127,3189,1,2,12000.0,480.0,23520.0
109,20241204,2,1.0,874,1,1,2,12000.0,480.0,23520.0
110,20250109,1,,814,2367,2,1,15000.0,750.0,14250.0
111,20250109,1,,814,2367,1,2,13200.0,0.0,26400.0
112,20250916,1,,1189,840,1,1,10800.0,0.0,10800.0
113,20250916,1,,1189,840,1,2,12000.0,2400.0,21600.0
114,20241111,1,,584,69,2,1,15000.0,300.0,14700.0
115,20250202,1,,1433,953,1,2,12000.0,1200.0,22800.0
116,20250202,1,,1433,953,2,2,15000.0,0.0,30000.0
117,20250921,1,,670,3103,1,3,12000.0,1800.0,34200.0
118,20240210,1,,464,842,2,1,16500.0,0.0,16500.0
119,20240210,1,,464,842,1,2,12000.0,2400.0,21600.0
120,20241125,1,,535,153,2,1,15000.0,0.0,15000.0
121,20250301,1,,655,2185,1,1,12600.0,252.0,12348.0
122,20250818,1,,833,2251,1,1,12000.0,1200.0,10800.0
123,20241213,1,,490,1449,1,1,12000.0,600.0,11400.0
124,20240203,1,,360,1460,2,2,15000.0,600.0,29400.0
125,20240203,1,,360,1460,2,2,15000.0,3000.0,27000.0
126,20250618,1,,1227,1176,2,1,15000.0,750.0,14250.0
127,20240127,1,,624,38,1,2,12000.0,0.0,24000.0
128,20240127,1,,624,38,2,1,13500.0,675.0,12825.0
129,20240217,1,,228,2302,2,3,15750.0,2362.5,44887.5
130,20240217,1,,228,2302,2,3,15750.0,945.0,46305.0
131,20240613,1,,770,776,2,2,15000.0,0.0,30000.0
132,20241114,2,2.0,54,2,2,3,15000.0,0.0,45000.0
133,20241114,2,2.0,54,2,1,2,12000.0,0.0,24000.0
134,20241114,2,2.0,54,2,2,1,16500.0,825.0,15675.0
135,20241227,2,4.0,1006,4,1,3,12000.0,1800.0,34200.0
136,20241227,2,4.0,1006,4,2,3,13500.0,0.0,40500.0
137,20250925,1,,247,1295,2,3,16500.0,990.0,48510.0
138,20250523,2,3.0,1127,3,1,3,12000.0,720.0,35280.0
139,20240612,2,2.0,757,2,2,1,15750.0,315.0,15435.0
140,20250116,1,,520,2447,1,3,12600.0,1890.0,35910.0
141,20240227,1,,258,228,1,1,12000.0,0.0,12000.0
142,20240730,1,,467,1889,1,1,10800.0,0.0,10800.0
143,20240730,1,,467,1889,1,1,12600.0,252.0,12348.0
144,20240330,1,,3,223,1,3,12000.0,0.0,36000.0
145,20241119,1,,334,2867,1,3,12000.0,720.0,35280.0
146,20240325,2,3.0,802,3,1,3,10800.0,1620.0,30780.0
147,20240323,1,,999,3052,2,2,15000.0,0.0,30000.0
148,20240512,1,,176,2444,1,2,12000.0,2400.0,21600.0
149,20250208,1,,801,2960,2,1,15000.0,0.0,15000.0
150,20240522,1,,1113,1947,1,3,12600.0,3780.0,34020.0
151,20250704,2,4.0,810,4,2,3,15750.0,945.0,46305.0
152,20240422,2,4.0,581,4,1,2,12000.0,2400.0,21600.0
153,20240422,2,4.0,581,4,1,1,12000.0,600.0,11400.0
154,20250604,2,2.0,1284,2,1,2,12000.0,480.0,23520.0
155,20250604,2,2.0,1284,2,2,3,16500.0,4950.0,44550.0
156,20241220,1,,1333,1880,2,1,15750.0,315.0,15435.0
157,20250228,2,2.0,24,2,1,3,12600.0,3780.0,34020.0
158,20250228,2,2.0,24,2,2,3,15000.0,2250.0,42750.0
159,20240121,2,1.0,1222,1,1,1,13200.0,264.0,12936.0
160,20240917,2,1.0,63,1,1,1,10800.0,1080.0,9720.0
161,20240219,1,,1078,3,1,2,12000.0,2400.0,21600.0
162,20240701,1,,1091,2613,1,3,13200.0,0.0,39600.0
163,20250119,1,,524,1258,1,2,12000.0,0.0,24000.0
164,20250816,1,,1229,2394,1,3,13200.0,792.0,38808.0
165,20250716,2,4.0,458,4,2,1,15000.0,300.0,14700.0
166,20240418,1,,68,1657,1,1,12000.0,240.0,11760.0
167,20241220,2,4.0,959,4,1,3,13200.0,1980.0,37620.0
168,20250830,2,1.0,356,1,1,3,12000.0,0.0,36000.0
169,20250624,1,,530,5,2,1,15000.0,300.0,14700.0
170,20240206,1,,1420,3008,1,1,10800.0,216.0,10584.0
171,20240206,1,,1420,3008,2,3,15000.0,900.0,44100.0
172,20240709,2,3.0,279,3,2,3,15000.0,4500.0,40500.0
173,20240709,2,3.0,279,3,1,1,12000.0,1200.0,10800.0
174,20240612,2,3.0,779,3,2,1,15000.0,0.0,15000.0
175,20240228,1,,1383,2117,2,2,15000.0,1500.0,28500.0
176,20240228,1,,1383,2117,2,2,15750.0,3150.0,28350.0
177,20250420,1,,1189,1356,1,1,10800.0,1080.0,9720.0
178,20250420,1,,1189,1356,2,3,15000.0,4500.0,40500.0
179,20250420,1,,1189,1356,1,3,12000.0,3600.0,32400.0
180,20250917,1,,1016,3040,1,3,12000.0,720.0,35280.0
181,20250917,1,,1016,3040,2,2,15000.0,3000.0,27000.0
182,20250521,2,3.0,595,3,2,1,13500.0,1350.0,12150.0
183,20240125,2,4.0,902,4,1,3,13200.0,0.0,39600.0
184,20240726,1,,317,2546,2,2,13500.0,540.0,26460.0
185,20240614,2,2.0,1229,2,2,1,15000.0,0.0,15000.0
186,20240106,2,3.0,279,3,1,3,12000.0,720.0,35280.0
187,20240106,2,3.0,279,3,2,2,15000.0,3000.0,27000.0
188,20240530,2,4.0,1498,4,1,1,12000.0,600.0,11400.0
189,20240530,2,4.0,1498,4,1,2,10800.0,0.0,21600.0
190,20250120,1,,140,1773,2,2,15000.0,1500.0,28500.0
191,20241115,1,,1115,2545,1,1,12000.0,240.0,11760.0
192,20240103,1,,1240,1704,1,3,12000.0,1800.0,34200.0
193,20240406,1,,590,1036,2,1,15000.0,1500.0,13500.0
194,20250217,2,3.0,645,3,2,1,13500.0,270.0,13230.0
195,20241130,2,1.0,545,1,1,1,13200.0,1320.0,11880.0
196,20250625,1,,1208,1955,2,1,15000.0,750.0,14250.0
197,20250625,1,,1208,1955,1,1,13200.0,264.0,12936.0
198,20250625,1,,1208,1955,1,2,12000.0,480.0,23520.0
199,20240606,2,1.0,551,1,1,3,12000.0,1800.0,34200.0
200,20240606,2,1.0,551,1,1,3,12000.0,3600.0,32400.0
201,20240209,2,1.0,569,1,2,2,16500.0,3300.0,29700.0
202,20250719,1,,1305,3178,2,2,15000.0,0.0,30000.0
203,20240505,1,,280,2731,2,3,15750.0,2362.5,44887.5
204,20240505,1,,280,2731,1,3,12600.0,0.0,37800.0
205,20241207,1,,1338,1472,2,2,16500.0,660.0,32340.0
206,20241207,1,,1338,1472,2,2,15000.0,3000.0,27000.0
207,20250621,1,,84,2447,1,3,12000.0,720.0,35280.0
208,20250121,1,,655,1117,2,1,15000.0,1500.0,13500.0
209,20250530,2,4.0,513,4,2,2,16500.0,660.0,32340.0
210,20240416,2,3.0,884,3,1,3,12000.0,720.0,35280.0
211,20240108,2,2.0,385,2,1,1,10800.0,1080.0,9720.0
212,20250610,2,2.0,723,2,1,1,12000.0,1200.0,10800.0
213,20240701,2,1.0,110,1,2,3,15750.0,4725.0,42525.0
214,20240212,1,,1197,3125,1,1,12000.0,0.0,12000.0
215,20241029,2,2.0,833,2,2,3,15000.0,2250.0,42750.0
216,20250126,2,3.0,371,3,1,1,12000.0,0.0,12000.0
217,20250126,2,3.0,371,3,2,3,15750.0,0.0,47250.0
218,20240424,2,1.0,905,1,2,2,15000.0,0.0,30000.0
219,20240714,1,,389,307,1,1,12600.0,252.0,12348.0
220,20240613,2,4.0,1299,4,2,2,15000.0,600.0,29400.0
221,20241021,1,,725,2912,2,3,15000.0,0.0,45000.0
222,20250731,2,4.0,645,4,1,2,12000.0,1200.0,22800.0
223,20240224,1,,584,136,1,2,10800.0,0.0,21600.0
224,20250222,1,,436,2762,1,3,12000.0,0.0,36000.0
225,20250222,1,,436,2762,2,2,15000.0,3000.0,27000.0
226,20250827,1,,293,2361,1,2,12000.0,480.0,23520.0
227,20250727,1,,1065,2496,2,1,15000.0,1500.0,13500.0
228,20250727,1,,1065,2496,2,2,15750.0,1575.0,29925.0
229,20250118,1,,1234,2706,2,1,13500.0,675.0,12825.0
230,20250118,1,,1234,2706,1,1,10800.0,540.0,10260.0
231,20250118,1,,1234,2706,1,2,12000.0,0.0,24000.0
232,20240226,1,,400,2527,2,3,13500.0,0.0,40500.0
233,20240708,1,,251,1329,1,1,12000.0,1200.0,10800.0
234,20240329,2,4.0,764,4,2,2,15000.0,0.0,30000.0
235,20250227,1,,1490,2557,1,1,12000.0,240.0,11760.0
236,20240507,1,,181,1805,1,2,12000.0,1200.0,22800.0
237,20250616,1,,693,1635,2,2,15750.0,0.0,31500.0
238,20240907,2,2.0,672,2,1,1,12000.0,240.0,11760.0
239,20240531,1,,786,2161,1,1,12000.0,0.0,12000.0
240,20250225,2,2.0,1347,2,2,1,16500.0,1650.0,14850.0
241,20241123,1,,628,868,2,1,13500.0,675.0,12825.0
242,20250503,2,2.0,1485,2,2,1,15000.0,1500.0,13500.0
243,20250812,1,,805,2735,2,3,15000.0,900.0,44100.0
244,20250812,1,,805,2735,2,2,15000.0,1500.0,28500.0
245,20240521,1,,445,753,1,2,12600.0,0.0,25200.0
246,20241112,1,,560,83,1,2,12000.0,480.0,23520.0
247,20240908,1,,403,2607,1,2,13200.0,1320.0,25080.0
248,20241026,2,1.0,693,1,2,2,13500.0,0.0,27000.0
249,20250511,2,2.0,274,2,2,1,15000.0,1500.0,13500.0
250,20240718,1,,804,944,1,3,12600.0,756.0,37044.0
251,20240718,1,,804,944,1,2,12000.0,1200.0,22800.0
252,20240730,1,,1495,1364,1,1,12000.0,600.0,11400.0
253,20250212,2,1.0,48,1,1,3,12000.0,3600.0,32400.0
254,20250823,2,3.0,661,3,2,2,15000.0,3000.0,27000.0
255,20240502,1,,984,1812,1,3,12600.0,756.0,37044.0
256,20240605,1,,1384,1972,1,1,12000.0,240.0,11760.0
257,20250916,1,,788,206,2,3,15000.0,4500.0,40500.0
258,20250916,1,,788,206,1,1,12000.0,1200.0,10800.0
259,20250916,1,,788,206,1,3,12600.0,756.0,37044.0
260,20240308,2,2.0,456,2,1,1,12000.0,0.0,12000.0
261,20240215,1,,427,695,1,3,12000.0,3600.0,32400.0
262,20250913,1,,866,2574,1,1,12000.0,1200.0,10800.0
263,20250913,1,,866,2574,1,3,12000.0,1800.0,34200.0
264,20250228,1,,371,600,2,1,15000.0,1500.0,13500.0
265,20250228,1,,371,600,2,2,16500.0,660.0,32340.0
266,20250814,1,,1000,1384,2,2,15000.0,0.0,30000.0
267,20240409,1,,1404,795,1,1,12000.0,1200.0,10800.0
268,20240203,1,,1159,788,1,3,10800.0,3240.0,29160.0
269,20250319,1,,1040,2797,1,2,13200.0,0.0,26400.0
270,20250319,1,,1040,2797,1,2,12000.0,2400.0,21600.0
271,20240925,1,,464,2537,1,1,12000.0,1200.0,10800.0
272,20240925,1,,464,2537,1,1,12000.0,1200.0,10800.0
273,20241116,1,,166,2941,1,1,12600.0,0.0,12600.0
274,20241116,1,,166,2941,2,2,15750.0,3150.0,28350.0
275,20250327,2,3.0,1056,3,1,3,12000.0,0.0,36000.0
276,20241117,2,3.0,925,3,1,3,12000.0,3600.0,32400.0
277,20250127,1,,488,257,2,1,15000.0,1500.0,13500.0
278,20250127,1,,488,257,2,2,15000.0,3000.0,27000.0
279,20240930,1,,903,898,2,1,15000.0,300.0,14700.0
280,20250726,1,,70,1092,1,2,12000.0,480.0,23520.0
281,20250507,1,,1459,1330,1,1,12600.0,252.0,12348.0
282,20250411,2,2.0,500,2,2,3,16500.0,4950.0,44550.0
283,20250403,1,,361,1297,1,2,12600.0,0.0,25200.0
284,20250320,1,,476,2590,2,1,15000.0,1500.0,13500.0
285,20250719,2,1.0,1400,1,1,3,12000.0,720.0,35280.0
286,20250719,2,1.0,1400,1,2,2,15750.0,0.0,31500.0
287,20250218,1,,945,886,1,1,12000.0,240.0,11760.0
288,20240416,1,,1443,900,2,1,15750.0,0.0,15750.0
289,20240719,1,,1430,2687,1,2,12600.0,2520.0,22680.0
290,20240129,1,,1330,1579,2,3,13500.0,2025.0,38475.0
291,20240129,1,,1330,1579,1,1,13200.0,660.0,12540.0
292,20250510,1,,274,506,2,1,16500.0,825.0,15675.0
293,20240405,2,2.0,1251,2,2,1,15750.0,787.5,14962.5
294,20240405,2,2.0,1251,2,2,3,15000.0,0.0,45000.0
295,20240704,1,,176,550,1,1,10800.0,540.0,10260.0
296,20240704,1,,176,550,1,2,12000.0,2400.0,21600.0
297,20240612,2,2.0,42,2,1,1,12000.0,1200.0,10800.0
298,20240612,2,2.0,42,2,1,3,12000.0,1800.0,34200.0
299,20250921,1,,582,1933,1,1,12000.0,600.0,11400.0
300,20250507,2,1.0,4,1,1,2,12000.0,480.0,23520.0
301,20240830,2,2.0,569,2,1,2,12000.0,2400.0,21600.0
302,20241224,2,1.0,157,1,1,2,12600.0,2520.0,22680.0
303,20250322,1,,649,311,2,3,15000.0,4500.0,40500.0
304,20250805,1,,1230,1403,1,3,12600.0,3780.0,34020.0
305,20240716,1,,197,2867,1,3,10800.0,3240.0,29160.0
306,20240717,1,,731,2594,1,3,12000.0,720.0,35280.0
307,20250327,1,,506,2647,1,3,12000.0,720.0,35280.0
308,20250410,2,2.0,751,2,2,1,15000.0,1500.0,13500.0
309,20241229,1,,485,1341,1,3,12000.0,3600.0,32400.0
310,20240608,1,,823,57,2,3,15750.0,0.0,47250.0
311,20250221,1,,680,1497,1,1,13200.0,264.0,12936.0
312,20250221,1,,680,1497,1,2,12000.0,0.0,24000.0
313,20241119,1,,417,2093,2,1,15000.0,0.0,15000.0
314,20250528,1,,677,2205,1,2,12000.0,480.0,23520.0
315,20241002,2,2.0,1327,2,1,2,12000.0,2400.0,21600.0
316,20250104,2,1.0,593,1,1,1,12000.0,0.0,12000.0
317,20250104,2,1.0,593,1,1,1,12000.0,0.0,12000.0
318,20241114,2,1.0,606,1,1,3,12000.0,0.0,36000.0
319,20250322,2,2.0,137,2,1,2,10800.0,432.0,21168.0
320,20240220,1,,487,1637,1,1,12600.0,630.0,11970.0
321,20240220,1,,487,1637,2,3,13500.0,810.0,39690.0
322,20241020,1,,909,2066,2,2,15000.0,3000.0,27000.0
323,20241020,1,,909,2066,1,1,12000.0,0.0,12000.0
324,20241011,2,1.0,179,1,2,2,15000.0,3000.0,27000.0
325,20241011,2,1.0,179,1,1,3,12000.0,3600.0,32400.0
326,20250815,1,,183,2017,1,3,12600.0,756.0,37044.0
327,20250608,1,,536,827,2,1,16500.0,0.0,16500.0
328,20240913,2,1.0,1341,1,1,2,10800.0,1080.0,20520.0
329,20250508,2,1.0,378,1,2,1,15000.0,300.0,14700.0
330,20250508,2,1.0,378,1,2,2,13500.0,1350.0,25650.0
331,20250927,1,,548,537,1,3,12000.0,0.0,36000.0
332,20250927,1,,548,537,2,2,13500.0,1350.0,25650.0
333,20241202,1,,757,3131,2,1,15750.0,315.0,15435.0
334,20241026,2,4.0,522,4,1,1,12000.0,1200.0,10800.0
335,20240419,2,3.0,1384,3,1,3,13200.0,0.0,39600.0
336,20240921,1,,473,843,2,3,15750.0,4725.0,42525.0
337,20240315,2,3.0,1316,3,1,3,12000.0,1800.0,34200.0
338,20240302,2,1.0,1356,1,2,3,15000.0,900.0,44100.0
339,20250423,1,,266,1464,1,2,12600.0,504.0,24696.0
340,20250423,1,,266,1464,1,2,12000.0,2400.0,21600.0
341,20241013,2,2.0,1359,2,1,2,10800.0,432.0,21168.0
342,20240813,1,,843,2933,2,1,15000.0,300.0,14700.0
343,20241001,1,,599,105,1,2,12000.0,480.0,23520.0
344,20250530,2,1.0,1048,1,2,2,15000.0,600.0,29400.0
345,20250530,2,1.0,1048,1,2,2,15000.0,1500.0,28500.0
346,20241226,1,,319,3048,2,2,15000.0,1500.0,28500.0
347,20250904,1,,846,975,1,2,13200.0,528.0,25872.0
348,20241212,1,,1491,2539,2,2,16500.0,0.0,33000.0
349,20250814,1,,79,1366,1,2,12000.0,0.0,24000.0
350,20241118,1,,748,3055,1,3,12000.0,720.0,35280.0
351,20241231,1,,537,3146,2,3,15000.0,4500.0,40500.0
352,20250819,2,2.0,303,2,1,1,12600.0,1260.0,11340.0
353,20250819,2,2.0,303,2,2,3,15750.0,945.0,46305.0
354,20240427,1,,1065,1757,1,3,13200.0,0.0,39600.0
355,20240427,1,,1065,1757,1,1,13200.0,264.0,12936.0
356,20250507,1,,606,1858,1,2,12000.0,480.0,23520.0
357,20250507,1,,606,1858,2,1,16500.0,825.0,15675.0
358,20240229,1,,553,1632,2,2,15000.0,3000.0,27000.0
359,20250314,1,,656,361,1,1,12000.0,600.0,11400.0
360,20241013,1,,786,1402,2,3,15750.0,945.0,46305.0
361,20241013,1,,786,1402,1,2,12000.0,1200.0,22800.0
362,20240216,2,1.0,663,1,1,1,12000.0,240.0,11760.0
363,20240212,1,,833,1297,1,3,12000.0,720.0,35280.0
364,20240212,1,,833,1297,1,3,12000.0,0.0,36000.0
365,20241025,1,,844,1061,1,2,13200.0,0.0,26400.0
366,20240301,1,,720,353,1,3,12000.0,720.0,35280.0
367,20240928,2,1.0,169,1,1,2,12000.0,0.0,24000.0
368,20240928,2,1.0,169,1,2,3,13500.0,810.0,39690.0
369,20240621,1,,969,1858,1,1,12000.0,1200.0,10800.0
370,20240621,1,,969,1858,1,1,12000.0,1200.0,10800.0
371,20250526,2,4.0,268,4,1,2,12000.0,0.0,24000.0
372,20241014,2,1.0,122,1,2,2,15000.0,0.0,30000.0
373,20241014,2,1.0,122,1,1,1,12000.0,0.0,12000.0
374,20250304,1,,617,2841,1,2,10800.0,0.0,21600.0
375,20250815,1,,608,2268,2,3,15000.0,900.0,44100.0
376,20240720,2,1.0,732,1,2,1,15000.0,300.0,14700.0
377,20240720,2,1.0,732,1,1,1,12600.0,0.0,12600.0
378,20250311,1,,211,2122,1,2,12000.0,1200.0,22800.0
379,20250311,1,,211,2122,1,2,10800.0,432.0,21168.0
380,20241228,1,,475,1567,1,2,10800.0,2160.0,19440.0
381,20250721,1,,949,2712,2,1,13500.0,675.0,12825.0
382,20240309,2,2.0,426,2,2,2,15000.0,0.0,30000.0
383,20240309,2,2.0,426,2,2,2,15000.0,1500.0,28500.0
384,20241030,1,,386,1443,2,1,15000.0,0.0,15000.0
385,20240711,1,,500,2067,2,2,15000.0,600.0,29400.0
386,20250617,2,1.0,677,1,2,3,15000.0,2250.0,42750.0
387,20250201,2,1.0,33,1,1,1,12000.0,240.0,11760.0
388,20250226,1,,194,3137,2,3,15750.0,0.0,47250.0
389,20250226,1,,194,3137,2,2,13500.0,540.0,26460.0
390,20241104,1,,78,2789,1,1,12000.0,240.0,11760.0
391,20241104,1,,78,2789,2,3,13500.0,4050.0,36450.0
392,20241104,1,,78,2789,1,3,13200.0,1980.0,37620.0
393,20241017,1,,102,1996,2,3,16500.0,2475.0,47025.0
394,20250429,2,4.0,1072,4,2,1,15000.0,300.0,14700.0
395,20250429,2,4.0,1072,4,1,1,12600.0,630.0,11970.0
396,20250821,1,,754,1359,1,2,12000.0,2400.0,21600.0
397,20240422,1,,195,1152,1,3,12000.0,0.0,36000.0
398,20250327,2,4.0,862,4,1,2,10800.0,1080.0,20520.0
399,20240628,2,2.0,240,2,2,1,15000.0,0.0,15000.0
400,20250811,2,1.0,682,1,2,3,15000.0,900.0,44100.0
401,20241104,2,1.0,849,1,1,3,12000.0,1800.0,34200.0
402,20240506,2,3.0,807,3,1,3,12000.0,0.0,36000.0
403,20241119,1,,901,1279,1,3,12000.0,3600.0,32400.0
404,20241119,1,,901,1279,1,1,12000.0,240.0,11760.0
405,20240506,1,,61,371,1,2,12000.0,0.0,24000.0
406,20250807,1,,1082,1272,2,2,13500.0,0.0,27000.0
407,20250807,1,,1082,1272,2,2,16500.0,3300.0,29700.0
408,20240316,2,3.0,1286,3,1,3,12000.0,3600.0,32400.0
409,20240315,1,,1416,1942,2,1,15000.0,1500.0,13500.0
410,20240315,1,,1416,1942,2,3,15750.0,2362.5,44887.5
411,20240315,1,,1416,1942,2,3,13500.0,810.0,39690.0
412,20250413,1,,979,2689,1,2,12600.0,0.0,25200.0
413,20240429,1,,800,969,2,3,15000.0,2250.0,42750.0
414,20240429,1,,800,969,1,2,13200.0,0.0,26400.0
415,20240912,1,,800,3193,2,1,15000.0,1500.0,13500.0
416,20240327,1,,757,1366,2,1,15000.0,1500.0,13500.0
417,20240409,2,1.0,1194,1,1,3,12600.0,0.0,37800.0
418,20250104,1,,673,1712,1,2,12000.0,2400.0,21600.0
