shipment_sk,shipped_date_id,shipped_at_time,delivered_date_id,delivered_at_time,customer_sk,channel_sk,store_sk,location_sk,carrier,tracking_number
54,,,,,729,1,,458,Correo Argentino,
55,20240316,02:19:59,20240317,02:19:59,251,2,4.0,4,PICKUP,
56,20250723,20:26:45,20250724,20:26:45,1087,2,1.0,1,PICKUP,
57,20250413,15:37:15,20250416,15:37:15,659,1,,1891,Correo Argentino,TRK-F94E82XEU7
58,20250221,05:51:12,20250222,05:51:12,338,2,4.0,4,PICKUP,
59,,,,,1068,1,,2075,Correo Argentino,
60,20240702,13:26:37,20240707,13:26:37,958,1,,2539,Correo Argentino,TRK-GYMRRQSRNH
61,,,,,428,2,4.0,4,PICKUP,
62,20250302,10:20:56,20250305,10:20:56,1337,1,,88,Correo Argentino,TRK-1JVAA08D71
63,20241223,12:02:28,20241224,12:02:28,1442,2,3.0,3,PICKUP,
64,20240531,10:17:58,20240602,10:17:58,939,1,,410,Correo Argentino,TRK-4QRWG4O3VS
65,20250305,14:45:27,20250307,14:45:27,1409,1,,311,Correo Argentino,TRK-GHR4X51MO5
66,20240918,00:43:41,20240922,00:43:41,1062,1,,1403,Correo Argentino,TRK-Y0WLIWLAP3
67,,,,,988,1,,138,Correo Argentino,
68,20250412,16:23:15,20250417,16:23:15,778,1,,1252,Correo Argentino,TRK-WPHKOKPY98
69,20241202,10:53:38,20241205,10:53:38,77,1,,624,Correo Argentino,TRK-95ADJ6QXJ8
70,20240613,09:38:45,20240618,09:38:45,700,1,,480,Correo Argentino,TRK-75UERJVV88
71,20250726,23:51:05,20250730,23:51:05,425,1,,432,Correo Argentino,TRK-SHAJ4MH7LK
72,20240722,18:00:06,20240723,18:00:06,1271,2,3.0,3,PICKUP,
73,20240203,08:20:17,20240208,08:20:17,1129,1,,2540,Correo Argentino,TRK-NH83FI4OJA
74,20241208,21:18:19,20241211,21:18:19,1224,1,,1123,Correo Argentino,TRK-3BTEYU6C8K
75,20241215,04:41:02,20241221,04:41:02,446,1,,2068,Correo Argentino,TRK-NQPTS0MMBB
76,20250323,18:16:20,20250327,18:16:20,867,1,,2685,Correo Argentino,TRK-A7O7MMZ1H4
77,20240302,10:21:11,20240304,10:21:11,127,1,,3189,Correo Argentino,TRK-Z56VK3U0QJ
78,20241204,22:39:17,20241205,22:39:17,874,2,1.0,1,PICKUP,
79,20250110,21:43:22,20250113,21:43:22,814,1,,2367,Correo Argentino,TRK-N8XZ4OSU2M
80,20250917,02:56:19,20250921,02:56:19,1189,1,,840,Correo Argentino,TRK-XADN2TVDNH
81,20241112,06:28:22,20241117,06:28:22,584,1,,69,Correo Argentino,TRK-S1OQO0J4EA
82,20250203,01:45:35,20250206,01:45:35,1433,1,,953,Correo Argentino,TRK-LSXL8NV9UZ
83,20250922,10:27:35,20250925,10:27:35,670,1,,3103,Correo Argentino,TRK-4U2I1W5ENR
84,20240211,17:47:09,20240215,17:47:09,464,1,,842,Correo Argentino,TRK-3QNYBMC06W
85,20241126,14:26:24,20241129,14:26:24,535,1,,153,Correo Argentino,TRK-LWD8M7AMND
86,20250302,02:58:24,20250304,02:58:24,655,1,,2185,Correo Argentino,TRK-0RBFVTM6X4
87,20250819,10:52:28,20250821,10:52:28,833,1,,2251,Correo Argentino,TRK-A169DTQM73
88,,,,,490,1,,1449,Correo Argentino,
89,20240204,13:58:21,20240209,13:58:21,360,1,,1460,Correo Argentino,TRK-TBUL818CS4
90,20250619,12:09:30,20250622,12:09:30,1227,1,,1176,Correo Argentino,TRK-BJOJ02WY0U
91,20240128,19:31:23,20240201,19:31:23,624,1,,38,Correo Argentino,TRK-E1JQQXF2A8
92,20240218,18:12:47,20240220,18:12:47,228,1,,2302,Correo Argentino,TRK-9YZ6V1VTIX
93,20240614,13:46:23,20240616,13:46:23,770,1,,776,Correo Argentino,TRK-UO5Q5LF7GD
94,20241114,23:26:31,20241115,23:26:31,54,2,2.0,2,PICKUP,
95,20241227,03:05:36,20241228,03:05:36,1006,2,4.0,4,PICKUP,
96,20250926,18:29:43,20250930,18:29:43,247,1,,1295,Correo Argentino,TRK-RRS7KQI5WW
97,20250523,10:43:41,20250524,10:43:41,1127,2,3.0,3,PICKUP,
98,20240612,17:56:54,20240613,17:56:54,757,2,2.0,2,PICKUP,
99,20250117,08:09:07,20250122,08:09:07,520,1,,2447,Correo Argentino,TRK-N1XL8YRR4C
100,20240228,14:31:08,20240303,14:31:08,258,1,,228,Correo Argentino,TRK-HUON3QASLA
101,,,,,467,1,,1889,Correo Argentino,
102,20240331,02:45:40,20240405,02:45:40,3,1,,223,Correo Argentino,TRK-BD9O45FG3M
103,20241120,07:00:43,20241124,07:00:43,334,1,,2867,Correo Argentino,TRK-RBXP2IU4CP
104,20240325,03:53:52,20240326,03:53:52,802,2,3.0,3,PICKUP,
105,20240324,20:55:17,20240328,20:55:17,999,1,,3052,Correo Argentino,TRK-TPWY0TUZG2
106,20240513,04:27:32,20240516,04:27:32,176,1,,2444,Correo Argentino,TRK-3BQ6FWSKLW
107,20250209,08:09:53,20250211,08:09:53,801,1,,2960,Correo Argentino,TRK-6DCLEDO515
108,20240523,03:56:26,20240528,03:56:26,1113,1,,1947,Correo Argentino,TRK-RB1W0XWXVT
109,20250704,04:11:46,20250705,04:11:46,810,2,4.0,4,PICKUP,
110,20240422,08:18:05,20240423,08:18:05,581,2,4.0,4,PICKUP,
111,,,,,1284,2,2.0,2,PICKUP,
112,20241221,15:47:41,20241225,15:47:41,1333,1,,1880,Correo Argentino,TRK-UXV2O2QSZO
113,20250228,17:43:31,20250301,17:43:31,24,2,2.0,2,PICKUP,
114,,,,,1222,2,1.0,1,PICKUP,
115,20240917,08:06:28,20240918,08:06:28,63,2,1.0,1,PICKUP,
116,20240220,00:47:44,20240222,00:47:44,1078,1,,3,Correo Argentino,TRK-9SFI30M85Y
117,20240702,10:24:47,20240705,10:24:47,1091,1,,2613,Correo Argentino,TRK-GCUU54HEAG
118,20250120,22:11:52,20250123,22:11:52,524,1,,1258,Correo Argentino,TRK-YVM19QXR2C
119,20250817,15:04:32,20250819,15:04:32,1229,1,,2394,Correo Argentino,TRK-JRBNVL0OS3
120,20250716,11:54:38,20250717,11:54:38,458,2,4.0,4,PICKUP,
121,20240419,21:41:14,20240421,21:41:14,68,1,,1657,Correo Argentino,TRK-YMYMMHLK1B
122,20241220,05:03:44,20241221,05:03:44,959,2,4.0,4,PICKUP,
123,20250830,14:57:49,20250831,14:57:49,356,2,1.0,1,PICKUP,
124,,,,,530,1,,5,Correo Argentino,
125,20240207,12:15:32,20240211,12:15:32,1420,1,,3008,Correo Argentino,TRK-OUKA4E7YCS
126,20240709,08:16:06,20240710,08:16:06,279,2,3.0,3,PICKUP,
127,20240612,02:24:10,20240613,02:24:10,779,2,3.0,3,PICKUP,
128,20240229,13:19:21,20240304,13:19:21,1383,1,,2117,Correo Argentino,TRK-LP15TFTZWC
129,,,,,1189,1,,1356,Correo Argentino,
130,20250918,22:24:46,20250921,22:24:46,1016,1,,3040,Correo Argentino,TRK-OTE0Q32RV2
131,20250521,02:27:57,20250522,02:27:57,595,2,3.0,3,PICKUP,
132,20240125,03:24:41,20240126,03:24:41,902,2,4.0,4,PICKUP,
133,20240727,17:23:51,20240801,17:23:51,317,1,,2546,Correo Argentino,TRK-ZK0XF0TEFY
134,20240614,15:46:34,20240615,15:46:34,1229,2,2.0,2,PICKUP,
135,20240106,02:05:46,20240107,02:05:46,279,2,3.0,3,PICKUP,
136,20240530,07:35:31,20240531,07:35:31,1498,2,4.0,4,PICKUP,
137,20250121,19:30:04,20250125,19:30:04,140,1,,1773,Correo Argentino,TRK-SB9FYY9V3Z
138,20241116,23:46:06,20241121,23:46:06,1115,1,,2545,Correo Argentino,TRK-8EM2BGA7SC
139,20240104,08:23:39,20240108,08:23:39,1240,1,,1704,Correo Argentino,TRK-W6GIOKOQS8
140,20240407,23:11:09,20240412,23:11:09,590,1,,1036,Correo Argentino,TRK-Q8P6U5PS47
141,20250217,21:56:48,20250218,21:56:48,645,2,3.0,3,PICKUP,
142,20241130,21:24:24,20241201,21:24:24,545,2,1.0,1,PICKUP,
143,20250626,13:32:09,20250628,13:32:09,1208,1,,1955,Correo Argentino,TRK-AT0A573HXB
144,20240606,00:59:40,20240607,00:59:40,551,2,1.0,1,PICKUP,
145,,,,,569,2,1.0,1,PICKUP,
146,20250720,14:47:44,20250724,14:47:44,1305,1,,3178,Correo Argentino,TRK-5WJ0VSGHJU
147,20240506,01:52:36,20240511,01:52:36,280,1,,2731,Correo Argentino,TRK-XNALT4U6O3
148,20241208,21:23:08,20241213,21:23:08,1338,1,,1472,Correo Argentino,TRK-TVS9QKJFPY
149,20250622,18:11:01,20250625,18:11:01,84,1,,2447,Correo Argentino,TRK-IAC72SYOJT
150,20250122,22:14:19,20250127,22:14:19,655,1,,1117,Correo Argentino,TRK-86P5XH4ZUZ
151,20250530,23:20:50,20250531,23:20:50,513,2,4.0,4,PICKUP,
152,20240416,17:06:04,20240417,17:06:04,884,2,3.0,3,PICKUP,
153,20240108,00:18:03,20240109,00:18:03,385,2,2.0,2,PICKUP,
154,,,,,723,2,2.0,2,PICKUP,
155,20240701,13:02:42,20240702,13:02:42,110,2,1.0,1,PICKUP,
156,20240213,00:38:46,20240217,00:38:46,1197,1,,3125,Correo Argentino,TRK-MPCEM8ML7K
157,20241029,15:18:07,20241030,15:18:07,833,2,2.0,2,PICKUP,
158,,,,,371,2,3.0,3,PICKUP,
159,20240424,23:37:56,20240425,23:37:56,905,2,1.0,1,PICKUP,
160,20240715,06:58:24,20240720,06:58:24,389,1,,307,Correo Argentino,TRK-7LRC6G1HAV
161,20240613,10:29:35,20240614,10:29:35,1299,2,4.0,4,PICKUP,
162,20241022,00:31:01,20241026,00:31:01,725,1,,2912,Correo Argentino,TRK-ZU6O2A2X17
163,20250731,20:20:03,20250801,20:20:03,645,2,4.0,4,PICKUP,
164,20240225,10:30:38,20240229,10:30:38,584,1,,136,Correo Argentino,TRK-U6UA2YY3HB
165,20250223,06:18:41,20250225,06:18:41,436,1,,2762,Correo Argentino,TRK-TMG2PU2NU4
166,20250828,08:06:56,20250901,08:06:56,293,1,,2361,Correo Argentino,TRK-D8V0DBNSG3
167,20250728,20:39:32,20250730,20:39:32,1065,1,,2496,Correo Argentino,TRK-TTEUGQV2X2
168,,,,,1234,1,,2706,Correo Argentino,
169,,,,,400,1,,2527,Correo Argentino,
170,20240709,20:03:47,20240714,20:03:47,251,1,,1329,Correo Argentino,TRK-NM8H174TJH
171,20240329,08:07:40,20240330,08:07:40,764,2,4.0,4,PICKUP,
172,20250228,13:25:36,20250303,13:25:36,1490,1,,2557,Correo Argentino,TRK-GZTE0MZNMX
173,20240508,09:39:45,20240512,09:39:45,181,1,,1805,Correo Argentino,TRK-DGOJGP2GBU
174,20250617,15:40:09,20250622,15:40:09,693,1,,1635,Correo Argentino,TRK-VBAXIAQJKB
175,20240907,01:13:23,20240908,01:13:23,672,2,2.0,2,PICKUP,
176,20240601,19:23:40,20240604,19:23:40,786,1,,2161,Correo Argentino,TRK-WD62JC0VLK
177,20250225,07:13:53,20250226,07:13:53,1347,2,2.0,2,PICKUP,
178,20241124,21:44:13,20241127,21:44:13,628,1,,868,Correo Argentino,TRK-TSU2MSGQGV
179,20250503,06:20:13,20250504,06:20:13,1485,2,2.0,2,PICKUP,
180,20250813,08:58:40,20250816,08:58:40,805,1,,2735,Correo Argentino,TRK-DOH59G5HG5
181,20240522,07:44:42,20240524,07:44:42,445,1,,753,Correo Argentino,TRK-WTK41NS6CW
182,20241113,19:15:20,20241115,19:15:20,560,1,,83,Correo Argentino,TRK-2HK5GYIMQ5
183,20240909,21:03:06,20240916,21:03:06,403,1,,2607,Correo Argentino,TRK-3VO06V5F4C
184,20241026,15:02:26,20241027,15:02:26,693,2,1.0,1,PICKUP,
185,20250511,05:25:54,20250512,05:25:54,274,2,2.0,2,PICKUP,
186,20240719,22:03:50,20240724,22:03:50,804,1,,944,Correo Argentino,TRK-XVT3OPQZDN
187,20240731,17:31:33,20240802,17:31:33,1495,1,,1364,Correo Argentino,TRK-6LCGCSEFEL
188,20250212,20:45:02,20250213,20:45:02,48,2,1.0,1,PICKUP,
189,20250823,17:59:12,20250824,17:59:12,661,2,3.0,3,PICKUP,
190,20240503,13:34:34,20240505,13:34:34,984,1,,1812,Correo Argentino,TRK-MZ7KO0QL4T
191,20240606,16:15:54,20240611,16:15:54,1384,1,,1972,Correo Argentino,TRK-X696GHSKZW
192,,,,,788,1,,206,Correo Argentino,
193,20240308,16:48:50,20240309,16:48:50,456,2,2.0,2,PICKUP,
194,20240216,04:24:55,20240219,04:24:55,427,1,,695,Correo Argentino,TRK-N0C9SM2QFJ
195,20250914,14:18:48,20250919,14:18:48,866,1,,2574,Correo Argentino,TRK-7MYF01NWQ1
196,20250301,05:52:06,20250305,05:52:06,371,1,,600,Correo Argentino,TRK-5950NTLRAC
197,20250815,22:25:58,20250817,22:25:58,1000,1,,1384,Correo Argentino,TRK-3RJ4BIOHK0
198,20240410,00:49:19,20240412,00:49:19,1404,1,,795,Correo Argentino,TRK-M0DL4YCPUU
199,20240204,12:21:07,20240207,12:21:07,1159,1,,788,Correo Argentino,TRK-XPU46U15UT
200,20250320,13:29:11,20250325,13:29:11,1040,1,,2797,Correo Argentino,TRK-O91D35I9X4
201,20240926,16:00:56,20240929,16:00:56,464,1,,2537,Correo Argentino,TRK-LSZKZN0LYI
202,20241117,21:49:12,20241120,21:49:12,166,1,,2941,Correo Argentino,TRK-WPOOZWRSXF
203,20250327,16:10:42,20250328,16:10:42,1056,2,3.0,3,PICKUP,
204,20241117,23:47:20,20241118,23:47:20,925,2,3.0,3,PICKUP,
205,,,,,488,1,,257,Correo Argentino,
206,20241001,10:39:53,20241005,10:39:53,903,1,,898,Correo Argentino,TRK-Q495C57TPW
207,20250727,06:57:55,20250731,06:57:55,70,1,,1092,Correo Argentino,TRK-YOZRB7EYB4
208,20250508,08:30:13,20250510,08:30:13,1459,1,,1330,Correo Argentino,TRK-MXL244VRBJ
209,20250411,20:08:06,20250412,20:08:06,500,2,2.0,2,PICKUP,
210,20250404,02:36:42,20250406,02:36:42,361,1,,1297,Correo Argentino,TRK-QS7JP1ILRI
211,20250321,15:20:10,20250323,15:20:10,476,1,,2590,Correo Argentino,TRK-HMK0UFUCGU
212,20250719,23:54:49,20250720,23:54:49,1400,2,1.0,1,PICKUP,
213,20250219,13:52:44,20250223,13:52:44,945,1,,886,Correo Argentino,TRK-EI5CQOM3OQ
214,20240417,02:19:09,20240420,02:19:09,1443,1,,900,Correo Argentino,TRK-JVXGL1QGOU
215,20240720,23:42:13,20240722,23:42:13,1430,1,,2687,Correo Argentino,TRK-3LP62TMLP0
216,20240130,19:10:09,20240203,19:10:09,1330,1,,1579,Correo Argentino,TRK-W5E1QML5MQ
217,20250511,12:35:04,20250516,12:35:04,274,1,,506,Correo Argentino,TRK-AYM9Q11ZOD
218,20240405,10:08:16,20240406,10:08:16,1251,2,2.0,2,PICKUP,
219,20240705,15:57:47,20240709,15:57:47,176,1,,550,Correo Argentino,TRK-CP4OTN8HPB
220,20240612,19:28:12,20240613,19:28:12,42,2,2.0,2,PICKUP,
221,20250922,02:23:58,20250926,02:23:58,582,1,,1933,Correo Argentino,TRK-C1TLW78F6M
222,20250507,07:54:39,20250508,07:54:39,4,2,1.0,1,PICKUP,
223,20240830,13:00:53,20240831,13:00:53,569,2,2.0,2,PICKUP,
224,20241224,00:04:43,20241225,00:04:43,157,2,1.0,1,PICKUP,
225,20250323,13:07:04,20250325,13:07:04,649,1,,311,Correo Argentino,TRK-E3PPMBLC09
226,20250806,09:56:58,20250810,09:56:58,1230,1,,1403,Correo Argentino,TRK-JVVF010AIA
227,20240717,19:12:34,20240722,19:12:34,197,1,,2867,Correo Argentino,TRK-JJUIDCE74A
228,20240718,23:54:57,20240720,23:54:57,731,1,,2594,Correo Argentino,TRK-GSHXM42YVK
229,20250328,04:05:29,20250401,04:05:29,506,1,,2647,Correo Argentino,TRK-INJV5S1HHW
230,,,,,751,2,2.0,2,PICKUP,
231,20241230,11:56:27,20250104,11:56:27,485,1,,1341,Correo Argentino,TRK-9MRQVD7X1J
232,20240609,16:32:56,20240611,16:32:56,823,1,,57,Correo Argentino,TRK-YP7VNSGOLC
233,20250222,21:34:52,20250226,21:34:52,680,1,,1497,Correo Argentino,TRK-DZYUMNQIZK
234,20241120,08:54:06,20241122,08:54:06,417,1,,2093,Correo Argentino,TRK-BP8B1VFO0G
235,20250529,23:24:47,20250603,23:24:47,677,1,,2205,Correo Argentino,TRK-4Z78IY664L
236,,,,,1327,2,2.0,2,PICKUP,
237,20250104,07:17:21,20250105,07:17:21,593,2,1.0,1,PICKUP,
238,20241114,19:03:35,20241115,19:03:35,606,2,1.0,1,PICKUP,
239,20250322,06:27:32,20250323,06:27:32,137,2,2.0,2,PICKUP,
240,20240221,05:28:37,20240226,05:28:37,487,1,,1637,Correo Argentino,TRK-6QXN6I8BLI
241,20241021,17:29:14,20241026,17:29:14,909,1,,2066,Correo Argentino,TRK-X7LOFOLANG
242,20241011,10:32:46,20241012,10:32:46,179,2,1.0,1,PICKUP,
243,,,,,183,1,,2017,Correo Argentino,
244,20250609,09:40:04,20250613,09:40:04,536,1,,827,Correo Argentino,TRK-36SR7I0SAS
245,20240913,02:03:43,20240914,02:03:43,1341,2,1.0,1,PICKUP,
246,20250508,00:51:09,20250509,00:51:09,378,2,1.0,1,PICKUP,
247,,,,,548,1,,537,Correo Argentino,
248,20241203,02:46:27,20241208,02:46:27,757,1,,3131,Correo Argentino,TRK-F075G514A9
249,20241026,11:08:17,20241027,11:08:17,522,2,4.0,4,PICKUP,
250,20240419,07:55:19,20240420,07:55:19,1384,2,3.0,3,PICKUP,
251,20240922,10:33:48,20240926,10:33:48,473,1,,843,Correo Argentino,TRK-PUN6EN1KQ1
252,20240315,03:55:16,20240316,03:55:16,1316,2,3.0,3,PICKUP,
253,20240302,17:29:06,20240303,17:29:06,1356,2,1.0,1,PICKUP,
254,20250424,10:25:30,20250429,10:25:30,266,1,,1464,Correo Argentino,TRK-TSK3A0YQ6W
255,20241013,05:27:13,20241014,05:27:13,1359,2,2.0,2,PICKUP,
256,20240814,02:28:16,20240818,02:28:16,843,1,,2933,Correo Argentino,TRK-8BWQRUEYS2
257,20241002,05:52:27,20241006,05:52:27,599,1,,105,Correo Argentino,TRK-RVD511UODZ
258,20250530,14:07:49,20250531,14:07:49,1048,2,1.0,1,PICKUP,
259,20241227,23:32:30,20241229,23:32:30,319,1,,3048,Correo Argentino,TRK-KXPDA6C6W5
260,20250905,10:28:53,20250908,10:28:53,846,1,,975,Correo Argentino,TRK-20HMH74UZ5
261,20241213,00:31:19,20241216,00:31:19,1491,1,,2539,Correo Argentino,TRK-XYI1O46MZJ
262,20250815,21:42:26,20250817,21:42:26,79,1,,1366,Correo Argentino,TRK-D0N515YRWY
263,20241119,19:38:35,20241124,19:38:35,748,1,,3055,Correo Argentino,TRK-97AXUHZD9O
264,20250101,19:25:31,20250104,19:25:31,537,1,,3146,Correo Argentino,TRK-FYNETUY56H
265,20250819,08:26:01,20250820,08:26:01,303,2,2.0,2,PICKUP,
266,20240428,04:48:14,20240503,04:48:14,1065,1,,1757,Correo Argentino,TRK-2JRCHT1TPG
267,20250508,10:36:52,20250510,10:36:52,606,1,,1858,Correo Argentino,TRK-VA6AR1AR6U
268,20240301,01:23:56,20240305,01:23:56,553,1,,1632,Correo Argentino,TRK-QI2WJJ807C
269,,,,,656,1,,361,Correo Argentino,
270,,,,,786,1,,1402,Correo Argentino,
271,20240216,09:33:22,20240217,09:33:22,663,2,1.0,1,PICKUP,
272,20240213,23:19:32,20240218,23:19:32,833,1,,1297,Correo Argentino,TRK-9Q7IVQHXSI
273,20241026,21:34:38,20241031,21:34:38,844,1,,1061,Correo Argentino,TRK-WZYFMQFKIL
274,20240302,21:39:25,20240304,21:39:25,720,1,,353,Correo Argentino,TRK-N0MWFS58BQ
275,20240928,05:34:23,20240929,05:34:23,169,2,1.0,1,PICKUP,
276,20240622,23:19:57,20240626,23:19:57,969,1,,1858,Correo Argentino,TRK-UQI62K3L0W
277,20250526,19:31:40,20250527,19:31:40,268,2,4.0,4,PICKUP,
278,20241014,06:28:37,20241015,06:28:37,122,2,1.0,1,PICKUP,
279,20250305,17:56:56,20250310,17:56:56,617,1,,2841,Correo Argentino,TRK-KFFN16DB0I
280,,,,,608,1,,2268,Correo Argentino,
281,20240720,19:57:11,20240721,19:57:11,732,2,1.0,1,PICKUP,
282,20250312,16:52:34,20250316,16:52:34,211,1,,2122,Correo Argentino,TRK-72W7RNTWXW
283,20241229,03:28:46,20250101,03:28:46,475,1,,1567,Correo Argentino,TRK-V20K9JX42E
284,20250722,05:39:50,20250726,05:39:50,949,1,,2712,Correo Argentino,TRK-AGYGGFMNUF
285,20240309,13:44:42,20240310,13:44:42,426,2,2.0,2,PICKUP,
286,,,,,386,1,,1443,Correo Argentino,
287,20240712,04:57:19,20240715,04:57:19,500,1,,2067,Correo Argentino,TRK-2HRWR931OS
288,20250617,09:51:10,20250618,09:51:10,677,2,1.0,1,PICKUP,
289,20250201,18:03:56,20250202,18:03:56,33,2,1.0,1,PICKUP,
290,,,,,194,1,,3137,Correo Argentino,
291,20241105,11:56:09,20241109,11:56:09,78,1,,2789,Correo Argentino,TRK-OZ5CUWXG8T
292,20241018,15:01:08,20241024,15:01:08,102,1,,1996,Correo Argentino,TRK-40OOBAGXKK
293,20250429,10:38:07,20250430,10:38:07,1072,2,4.0,4,PICKUP,
294,20250822,17:47:42,20250826,17:47:42,754,1,,1359,Correo Argentino,TRK-TTMA008WBG
295,,,,,195,1,,1152,Correo Argentino,
296,20250327,00:46:52,20250328,00:46:52,862,2,4.0,4,PICKUP,
297,20240628,12:04:05,20240629,12:04:05,240,2,2.0,2,PICKUP,
298,20250811,01:05:27,20250812,01:05:27,682,2,1.0,1,PICKUP,
299,20241104,05:51:55,20241105,05:51:55,849,2,1.0,1,PICKUP,
300,20240506,18:32:30,20240507,18:32:30,807,2,3.0,3,PICKUP,
301,20241120,11:32:25,20241122,11:32:25,901,1,,1279,Correo Argentino,TRK-H5EYQT4XS3
302,20240507,02:06:15,20240512,02:06:15,61,1,,371,Correo Argentino,TRK-KX9CE5R5X7
303,,,,,1082,1,,1272,Correo Argentino,
304,20240316,23:03:26,20240317,23:03:26,1286,2,3.0,3,PICKUP,
305,20240316,15:57:51,20240320,15:57:51,1416,1,,1942,Correo Argentino,TRK-WR4IJI934Q
306,20250414,08:23:31,20250418,08:23:31,979,1,,2689,Correo Argentino,TRK-GA0XMVRUST
307,20240430,02:04:28,20240503,02:04:28,800,1,,969,Correo Argentino,TRK-83QUV5F3FI
