payment_sk,payment_id,date_id,customer_sk,channel_sk,store_sk,location_sk,status,method,transaction_ref,amount
37,7000000036,20240926.0,180,1,,3142.0,PAID,CARD,TX-WSO0CISUVYK2,61158.0
38,7000000037,20240127.0,482,1,,1548.0,PAID,CARD,TX-VCRJJP6E0CCG,31082.16
39,7000000038,20240202.0,620,2,1.0,307.0,PAID,CARD,TX-DIL01AV2R2A9,14229.6
40,7000000039,20240523.0,603,2,1.0,3134.0,PAID,CARD,TX-GO2N5MUY0V3U,71583.6
41,7000000040,,1028,1,,2288.0,FAILED,CARD,,14994.0
42,7000000041,20240115.0,1005,2,3.0,,PAID,CASH,TX-B543BB9H5C7R,29657.1
43,7000000042,20240928.0,790,1,,742.0,PAID,GATEWAY,TX-X79V37PRDDTB,13914.6
44,7000000043,20240522.0,665,1,,2230.0,PAID,CARD,TX-3MPXSV4DAUND,48816.0
45,7000000044,20250905.0,562,1,,,PAID,GATEWAY,TX-4JUJUM3AY4L6,90435.0
46,7000000045,20240203.0,998,1,,2030.0,PAID,GATEWAY,TX-6G4YWKOODVMB,44460.0
47,7000000046,20240115.0,276,1,,,PAID,CARD,TX-OAGVE3OT79YR,39930.0
48,7000000047,20240308.0,1469,2,2.0,,PAID,CASH,TX-AL44LOCGN4MF,13068.0
49,7000000048,,408,2,2.0,2369.0,PENDING,CARD,,28459.2
50,7000000049,20240813.0,1360,2,2.0,178.0,PAID,TRANSFER,TX-66ID36XC53T2,49005.0
51,7000000050,20240725.0,1423,1,,1107.0,PAID,GATEWAY,TX-7PTIHWUY0CDA,35685.0
52,7000000051,20240918.0,741,1,,1344.0,PAID,CARD,TX-F093FL0ELLCQ,38252.7
53,7000000052,20241106.0,969,1,,,PAID,CARD,TX-LC4H6TVD1ZOD,85377.6
54,7000000053,,729,1,,2599.0,FAILED,CARD,,33570.0
55,7000000054,20240318.0,251,2,4.0,2469.0,PAID,CASH,TX-BABHWIKVNZZ3,14941.08
56,7000000055,20250724.0,1087,2,1.0,2309.0,PAID,CARD,TX-RJQ9HE6VB7HF,51727.5
57,7000000056,20250415.0,659,1,,2450.0,PAID,CARD,TX-0RAAOO91OA8N,87140.25
58,7000000057,20250223.0,338,2,4.0,630.0,PAID,CASH,TX-UXBOXO5T9DHX,34394.25
59,7000000058,,1068,1,,3.0,FAILED,CARD,,53953.5
60,7000000059,20240703.0,958,1,,1977.0,PAID,CARD,TX-7033ZUJCIUHD,77682.0
61,7000000060,,428,2,4.0,337.0,FAILED,CARD,,35283.6
62,7000000061,20250303.0,1337,1,,298.0,PAID,CARD,TX-5BCIDL8LGH8R,15720.0
63,7000000062,20241224.0,1442,2,3.0,696.0,PAID,TRANSFER,TX-T7NWUQIQ9VOB,54450.0
64,7000000063,20240601.0,939,1,,3172.0,PAID,GATEWAY,TX-D4XNYWF5QEYL,46323.24
65,7000000064,20250307.0,1409,1,,3175.0,PAID,GATEWAY,TX-N8533KHZH4J5,19168.5
66,7000000065,20240918.0,1062,1,,2637.0,PAID,GATEWAY,TX-JPJLBWJ1IRVA,43888.8
67,7000000066,,988,1,,1191.0,FAILED,GATEWAY,,43888.8
68,7000000067,20250412.0,778,1,,1602.0,REFUNDED,GATEWAY,TX-MZNG9JBD25OS,18687.0
69,7000000068,20241204.0,77,1,,1747.0,PAID,CARD,TX-PRTYVEKSVQUQ,102166.35
70,7000000069,20240614.0,700,1,,1472.0,PAID,CARD,TX-4QPQRW6T77VI,53361.0
71,7000000070,20250728.0,425,1,,2747.0,PAID,CARD,TX-4N53JR8S1YKT,15420.0
72,7000000071,20240724.0,1271,2,3.0,1522.0,PAID,CARD,TX-222J0CRS0SJJ,14229.6
73,7000000072,20240204.0,1129,1,,2125.0,PAID,GATEWAY,TX-P43FW2ENH6BE,17018.25
74,7000000073,20241209.0,1224,1,,485.0,PAID,CARD,TX-HU7AKHXTZ1YN,19576.35
75,7000000074,20241214.0,446,1,,3072.0,PAID,CARD,TX-TR4GSE74V5DM,69071.4
76,7000000075,20250324.0,867,1,,1944.0,PAID,CARD,TX-SK0540SEJOKI,36474.0
77,7000000076,20240302.0,127,1,,423.0,PAID,CARD,TX-N5EHQ403IVWA,29659.2
78,7000000077,20241206.0,874,2,1.0,208.0,PAID,CASH,TX-MBGQQW2NEF1F,28459.2
79,7000000078,20250112.0,814,1,,374.0,PAID,CARD,TX-IKM85NPGE98X,49186.5
80,7000000079,20250918.0,1189,1,,2306.0,PAID,GATEWAY,TX-UIU52W85YPS8,40404.0
81,7000000080,20241111.0,584,1,,2170.0,PAID,CARD,TX-X6TWS79CTHK8,18687.0
82,7000000081,20250202.0,1433,1,,2160.0,PAID,CARD,TX-1VPIVXSYTP4J,64788.0
83,7000000082,20250921.0,670,1,,2091.0,PAID,CARD,TX-472J8NP9S8E9,42582.0
84,7000000083,20240213.0,464,1,,2869.0,REFUNDED,GATEWAY,TX-SBJLVY6L1XXX,47301.0
85,7000000084,20241127.0,535,1,,,PAID,GATEWAY,TX-GJJBKDYPJZ5E,19050.0
86,7000000085,20250302.0,655,1,,2539.0,PAID,GATEWAY,TX-4YYBKHTAB92W,16441.08
87,7000000086,20250820.0,833,1,,855.0,PAID,GATEWAY,TX-H6SGL5WR6ZEB,14268.0
88,7000000087,,490,1,,1319.0,FAILED,CARD,,14994.0
89,7000000088,20240203.0,360,1,,104.0,PAID,GATEWAY,TX-YO60F0EA8647,69144.0
90,7000000089,20250620.0,1227,1,,2146.0,PAID,CARD,TX-JKULC5L36UG4,18442.5
91,7000000090,20240129.0,624,1,,2890.0,PAID,CARD,TX-IO1AR1ZGZBUT,45458.25
92,7000000091,20240219.0,228,1,,1743.0,PAID,GATEWAY,TX-NDNQBVR081I1,110342.92
93,7000000092,20240615.0,770,1,,530.0,PAID,GATEWAY,TX-7539MH4QX495,37200.0
94,7000000093,20241115.0,54,2,2.0,2329.0,PAID,CASH,TX-V4AUXB59ROGA,102456.75
95,7000000094,20241229.0,1006,2,4.0,2237.0,PAID,CASH,TX-LBRHLVO2Y93F,90387.0
96,7000000095,20250926.0,247,1,,1236.0,PAID,GATEWAY,TX-MBMP050ORNEE,59897.1
97,7000000096,20250524.0,1127,2,3.0,1319.0,PAID,CASH,TX-14WCNJXENRUU,42688.8
98,7000000097,20240614.0,757,2,2.0,2453.0,PAID,CASH,TX-TS02NI4GYBVJ,18676.35
99,7000000098,20250117.0,520,1,,3135.0,PAID,CARD,TX-2EHPQP6AIXY3,44351.1
100,7000000099,20240228.0,258,1,,1515.0,PAID,CARD,TX-6QBJB2NZNX9G,14520.0
101,7000000100,,467,1,,1636.0,FAILED,CARD,,28909.08
102,7000000101,20240331.0,3,1,,2640.0,PAID,GATEWAY,TX-N8LT25CDZBGQ,44460.0
103,7000000102,20241120.0,334,1,,2620.0,PAID,CARD,TX-UA4DQXIN6727,43888.8
104,7000000103,,802,2,3.0,553.0,PENDING,CASH,,37243.8
105,7000000104,20240324.0,999,1,,255.0,REFUNDED,CARD,TX-GYPM2FM72C6Z,37500.0
106,7000000105,20240512.0,176,1,,462.0,PAID,CARD,TX-HSNZ6UUKGLAE,27336.0
107,7000000106,20250210.0,801,1,,607.0,PAID,GATEWAY,TX-886LJXE6L2ZU,19050.0
108,7000000107,20240522.0,1113,1,,751.0,PAID,CARD,TX-W9F9L785FTPB,42064.2
109,7000000108,20250704.0,810,2,4.0,,PAID,CASH,TX-QM24BIHB24AY,56029.05
110,7000000109,20240424.0,581,2,4.0,704.0,PAID,CARD,TX-18ZITZHX2G7U,39930.0
111,7000000110,,1284,2,2.0,3026.0,FAILED,TRANSFER,,82364.7
112,7000000111,20241221.0,1333,1,,2902.0,PAID,GATEWAY,TX-LLQCAQ4XRN0T,19876.35
113,7000000112,20250302.0,24,2,2.0,806.0,PAID,CASH,TX-MH4GBLCKUHYD,92891.7
114,7000000113,,1222,2,1.0,1895.0,FAILED,CARD,,15652.56
115,7000000114,20240919.0,63,2,1.0,2180.0,PAID,TRANSFER,TX-42Q8BZ53GWTF,11761.2
116,7000000115,20240219.0,1078,1,,2864.0,REFUNDED,CARD,TX-PLUI46HDV8I9,27636.0
117,7000000116,20240704.0,1091,1,,2787.0,PAID,CARD,TX-FCJTQEJPPTTX,49116.0
118,7000000117,20250120.0,524,1,,3173.0,PAID,CARD,TX-AKHIN8QKBR9F,30240.0
119,7000000118,20250818.0,1229,1,,1458.0,PAID,CARD,TX-5HRXEHTTUWX2,47857.68
120,7000000119,20250716.0,458,2,4.0,2845.0,PAID,CARD,TX-IWD52SW6D9WI,17787.0
121,7000000120,20240421.0,68,1,,1466.0,PAID,CARD,TX-ILPQFBQW1HUK,14229.6
122,7000000121,20241220.0,959,2,4.0,2706.0,PAID,TRANSFER,TX-921BB2YAJ1WR,45520.2
123,7000000122,20250830.0,356,2,1.0,3167.0,PAID,CASH,TX-89TOCP8FP1K8,43560.0
124,7000000123,,530,1,,1284.0,FAILED,CARD,,18987.0
125,7000000124,20240206.0,1420,1,,1268.0,PAID,GATEWAY,TX-1XC2I92PV07U,67367.64
126,7000000125,20240711.0,279,2,3.0,954.0,PAID,TRANSFER,TX-CII1J0F53QB3,62073.0
127,7000000126,20240612.0,779,2,3.0,206.0,PAID,CASH,TX-E46XAAD0XH2M,18150.0
128,7000000127,20240229.0,1383,1,,3141.0,PAID,CARD,TX-3DYYWZL0OZT4,69988.5
129,7000000128,,1189,1,,885.0,FAILED,CARD,,101470.2
130,7000000129,20250920.0,1016,1,,1995.0,PAID,CARD,TX-RRK6UJVBP3BA,76858.8
131,7000000130,20250523.0,595,2,3.0,164.0,PAID,CASH,TX-J90VB1C4W9I4,14701.5
132,7000000131,20240125.0,902,2,4.0,2020.0,PAID,CASH,TX-Y1HNXIYYVIWS,47916.0
133,7000000132,20240728.0,317,1,,2601.0,PAID,CARD,TX-M2V0MW405G00,33216.6
134,7000000133,20240616.0,1229,2,2.0,,PAID,TRANSFER,TX-Z1JB0OXDFNS8,18150.0
135,7000000134,20240108.0,279,2,3.0,63.0,PAID,CASH,TX-98P7PRJHHZH1,75358.8
136,7000000135,20240601.0,1498,2,4.0,2609.0,PAID,CASH,TX-1CGWJ9S8U287,39930.0
137,7000000136,20250122.0,140,1,,2026.0,PAID,CARD,TX-BW4Q46DERG87,34485.0
138,7000000137,20241118.0,1115,1,,462.0,PAID,GATEWAY,TX-V1KGVXLOBICL,14229.6
139,7000000138,20240106.0,1240,1,,1477.0,PAID,CARD,TX-PXS2LYM9VUDM,42882.0
140,7000000139,20240408.0,590,1,,1328.0,PAID,CARD,TX-6FRNX7VHUKP5,17535.0
141,7000000140,20250220.0,645,2,3.0,1878.0,PAID,CASH,TX-KDQIUT6HRCFU,16008.3
142,7000000141,20241203.0,545,2,1.0,2477.0,REFUNDED,TRANSFER,TX-TJABWHM24N2G,14374.8
143,7000000142,20250626.0,1208,1,,3064.0,REFUNDED,CARD,TX-ATMX5MVNFKMN,62854.26
144,7000000143,20240608.0,551,2,1.0,1113.0,PAID,CARD,TX-523ARBBR7DKI,80586.0
145,7000000144,,569,2,1.0,214.0,FAILED,CARD,,35937.0
146,7000000145,20250721.0,1305,1,,,PAID,GATEWAY,TX-30JNSPSKTRCG,37800.0
147,7000000146,20240505.0,280,1,,194.0,PAID,CARD,TX-XAZ8J2P7RN3J,100951.88
148,7000000147,20241208.0,1338,1,,,PAID,CARD,TX-AY74FPLLGRCU,72701.4
149,7000000148,20250624.0,84,1,,592.0,PAID,CARD,TX-FO8HBF5JCDZ9,43888.8
150,7000000149,20250123.0,655,1,,81.0,PAID,GATEWAY,TX-Q8HCQUTXQ7XL,17235.0
151,7000000150,20250531.0,513,2,4.0,3049.0,PAID,CARD,TX-16PJPVWP8VO5,39131.4
152,7000000151,20240417.0,884,2,3.0,849.0,PAID,CARD,TX-D5E93RC1Y9LZ,42688.8
153,7000000152,20240109.0,385,2,2.0,1553.0,PAID,CARD,TX-60N330PGBOPH,11761.2
154,7000000153,,723,2,2.0,752.0,FAILED,CARD,,13068.0
155,7000000154,20240702.0,110,2,1.0,2113.0,PAID,CASH,TX-C5TG8BKA8V0I,51455.25
156,7000000155,20240212.0,1197,1,,2708.0,PAID,CARD,TX-QDUILY7E5RXR,15420.0
157,7000000156,20241029.0,833,2,2.0,1194.0,PAID,CASH,TX-38M7D53IIBFW,51727.5
158,7000000157,,371,2,3.0,1185.0,FAILED,TRANSFER,,71692.5
159,7000000158,20240425.0,905,2,1.0,1807.0,PAID,CARD,TX-2D7GG3Z4ZLDA,36300.0
160,7000000159,20240714.0,389,1,,3180.0,PAID,CARD,TX-WQF78OSLQBW6,16141.08
161,7000000160,20240614.0,1299,2,4.0,,PAID,TRANSFER,TX-OTEFX8XIJPHG,35574.0
162,7000000161,20241022.0,725,1,,,PAID,GATEWAY,TX-ELH913SD09OY,55350.0
163,7000000162,20250801.0,645,2,4.0,161.0,PAID,CARD,TX-8EDJM7W4HXIO,27588.0
164,7000000163,20240227.0,584,1,,984.0,PAID,CARD,TX-FA2N1L9GFVND,27036.0
165,7000000164,20250223.0,436,1,,3083.0,PAID,CARD,TX-YH73YULSS506,77130.0
166,7000000165,20250828.0,293,1,,2895.0,PAID,GATEWAY,TX-RBYQGYIW59OD,29959.2
167,7000000166,20250729.0,1065,1,,,PAID,GATEWAY,TX-D8WL2IKBUTZI,53744.25
168,7000000167,,1234,1,,1645.0,FAILED,CARD,,58172.85
169,7000000168,,400,1,,2133.0,FAILED,CARD,,50205.0
170,7000000169,20240709.0,251,1,,,PAID,GATEWAY,TX-XQWOUYAADU90,14268.0
171,7000000170,20240329.0,764,2,4.0,,PAID,TRANSFER,TX-6YQEF864BWX0,36300.0
172,7000000171,,1490,1,,2733.0,PENDING,CARD,,15429.6
173,7000000172,20240507.0,181,1,,607.0,PAID,GATEWAY,TX-0DQD29Q3T08A,28488.0
174,7000000173,20250618.0,693,1,,1849.0,PAID,CARD,TX-ALLSSFK7QIRJ,39315.0
175,7000000174,20240908.0,672,2,2.0,2475.0,PAID,TRANSFER,TX-7EGA4TIAD1CG,14229.6
176,7000000175,20240602.0,786,1,,1699.0,PAID,GATEWAY,TX-4RCDBOT74U6U,15420.0
177,7000000176,20250227.0,1347,2,2.0,1260.0,PAID,CASH,TX-RZQOC4EU0DBF,17968.5
178,7000000177,20241125.0,628,1,,,PAID,CARD,TX-8KSFQE50C7WX,16718.25
179,7000000178,20250504.0,1485,2,2.0,3036.0,PAID,CARD,TX-UOPZ2LNTJYIU,16335.0
180,7000000179,20250813.0,805,1,,1866.0,PAID,GATEWAY,TX-3467WCDPI2EY,88746.0
181,7000000180,20240522.0,445,1,,2685.0,PAID,GATEWAY,TX-JKFCQJUKURK1,31692.0
182,7000000181,20241113.0,560,1,,2249.0,PAID,CARD,TX-XWTR1UEIAQ3J,29359.2
183,7000000182,20240910.0,403,1,,1525.0,PAID,GATEWAY,TX-7L09W7WAP0O0,31546.8
184,7000000183,20241028.0,693,2,1.0,1838.0,PAID,TRANSFER,TX-A0GOAJB6RU3T,32670.0
185,7000000184,20250513.0,274,2,2.0,2613.0,PAID,CASH,TX-W1W31Q5F7XKK,16335.0
186,7000000185,20240720.0,804,1,,600.0,PAID,CARD,TX-QLQP66ZVGIMR,73611.24
187,7000000186,20240731.0,1495,1,,2585.0,PAID,GATEWAY,TX-T1WW8PAWHLQ7,14694.0
188,7000000187,20250214.0,48,2,1.0,2002.0,REFUNDED,CARD,TX-LNM2XQQ0VBQ6,39204.0
189,7000000188,20250825.0,661,2,3.0,2869.0,PAID,CARD,TX-CGL3TKQVXCRL,32670.0
190,7000000189,20240504.0,984,1,,3020.0,PAID,GATEWAY,TX-RYV7WF3XMBAU,45723.24
191,7000000190,20240606.0,1384,1,,1811.0,PAID,CARD,TX-ACMA2H5CSRRQ,14229.6
192,7000000191,,788,1,,1179.0,FAILED,CARD,,106896.24
193,7000000192,20240310.0,456,2,2.0,1133.0,PAID,CASH,TX-R97RQQIO1QLM,14520.0
194,7000000193,20240215.0,427,1,,,PAID,CARD,TX-FWUNIBW1GIX5,40404.0
195,7000000194,20250915.0,866,1,,913.0,PAID,GATEWAY,TX-UI9XQ56QBUBU,54450.0
196,7000000195,20250301.0,371,1,,352.0,PAID,CARD,TX-L3XKKJLIVBCN,56666.4
197,7000000196,20250817.0,1000,1,,1481.0,PAID,GATEWAY,TX-R18606ZCYXQ6,37500.0
198,7000000197,20240410.0,1404,1,,2536.0,PAID,GATEWAY,TX-511R6MDMB6O7,14268.0
199,7000000198,20240203.0,1159,1,,,PAID,CARD,TX-HVOGE67SNVCE,36183.6
200,7000000199,20250320.0,1040,1,,,PAID,GATEWAY,TX-GMUCJI7EKVZA,59280.0
201,7000000200,20240927.0,464,1,,2887.0,PAID,GATEWAY,TX-FVLC254ZH0QA,27036.0
202,7000000201,20241117.0,166,1,,1631.0,REFUNDED,GATEWAY,TX-UHXXCDXF1Q2B,50749.5
203,7000000202,20250329.0,1056,2,3.0,1262.0,PAID,CARD,TX-9BINMYXDHZ0E,43560.0
204,7000000203,20241118.0,925,2,3.0,2299.0,PAID,CARD,TX-QCZ1LK4KTCM2,39204.0
205,7000000204,,488,1,,678.0,FAILED,GATEWAY,,50205.0
206,7000000205,20241001.0,903,1,,459.0,PAID,CARD,TX-ZU368UUJ2G43,17787.0
207,7000000206,20250728.0,70,1,,1448.0,PAID,CARD,TX-811NAE2DWBNU,29659.2
208,7000000207,20250509.0,1459,1,,,PAID,GATEWAY,TX-FAXI1S9NPAXU,15841.08
209,7000000208,20250414.0,500,2,2.0,1838.0,PAID,CASH,TX-XR8ZBM8PE4L9,53905.5
210,7000000209,20250404.0,361,1,,370.0,PAID,CARD,TX-ADKEL21AA6Y8,31692.0
211,7000000210,20250321.0,476,1,,683.0,PAID,CARD,TX-FHAK7TJ2GWD8,17835.0
212,7000000211,20250720.0,1400,2,1.0,1780.0,REFUNDED,CASH,TX-4S764623AHW9,80803.8
213,7000000212,20250219.0,945,1,,106.0,PAID,CARD,TX-W53ZG1IGAE7U,15129.6
214,7000000213,20240418.0,1443,1,,1390.0,PAID,GATEWAY,TX-LPBS1GYAPNRR,20557.5
215,7000000214,20240722.0,1430,1,,2114.0,PAID,GATEWAY,TX-T9LZX8UBES81,28342.8
216,7000000215,20240201.0,1330,1,,613.0,PAID,CARD,TX-L8B7K0MHIHTF,62628.15
217,7000000216,20250512.0,274,1,,3105.0,PAID,GATEWAY,TX-1ZY6N78JP289,19866.75
218,7000000217,20240407.0,1251,2,2.0,455.0,PAID,CARD,TX-GIU5DSJNCTFT,72554.62
219,7000000218,20240707.0,176,1,,299.0,PAID,CARD,TX-U18MD3SZXDF0,39750.6
220,7000000219,20240612.0,42,2,2.0,1205.0,PAID,CASH,TX-4KBQ08F1IH6L,54450.0
221,7000000220,20250921.0,582,1,,1139.0,PAID,CARD,TX-IDZYNING1FJ4,14694.0
222,7000000221,20250507.0,4,2,1.0,73.0,PAID,CARD,TX-GOAPADJXH3W6,28459.2
223,7000000222,20240831.0,569,2,2.0,2286.0,PAID,CARD,TX-4FCM56J61UM0,26136.0
224,7000000223,20241224.0,157,2,1.0,708.0,PAID,CASH,TX-9W04PDTIIHE1,27442.8
225,7000000224,20250323.0,649,1,,230.0,PAID,CARD,TX-SYTMXBV9MDPO,50205.0
226,7000000225,20250807.0,1230,1,,55.0,PAID,CARD,TX-32II8K179YIX,41164.2
227,7000000226,20240718.0,197,1,,3115.0,PAID,CARD,TX-7SRDV4EEHRDW,36483.6
228,7000000227,20240720.0,731,1,,1940.0,PAID,GATEWAY,TX-O8PHNCK5QDAD,43888.8
229,7000000228,20250330.0,506,1,,2901.0,PAID,CARD,TX-KUBXDHQCLJXC,43588.8
230,7000000229,,751,2,2.0,3016.0,FAILED,CARD,,16335.0
231,7000000230,20241230.0,485,1,,201.0,PAID,GATEWAY,TX-YX4B18B9QCL3,40104.0
232,7000000231,20240610.0,823,1,,2287.0,PAID,GATEWAY,TX-PX6B4626S2QQ,58072.5
233,7000000232,20250222.0,680,1,,2906.0,PAID,GATEWAY,TX-FRUXTNXJ8UWO,45892.56
234,7000000233,20241122.0,417,1,,531.0,PAID,CARD,TX-Z4JKA0J2NBI5,19050.0
235,7000000234,20250530.0,677,1,,1685.0,PAID,CARD,TX-E47RHOW59Q7S,29659.2
236,7000000235,,1327,2,2.0,2411.0,FAILED,CASH,,26136.0
237,7000000236,20250106.0,593,2,1.0,,PAID,CASH,TX-QF1ADFQ90QPH,29040.0
238,7000000237,20241117.0,606,2,1.0,1048.0,PAID,CASH,TX-WRZQE54PFMIC,43560.0
239,7000000238,20250324.0,137,2,2.0,2139.0,PAID,CASH,TX-9S9BHWO6L2MX,25613.28
240,7000000239,20240221.0,487,1,,1298.0,PAID,GATEWAY,TX-XL0GF8E59JMZ,63408.6
241,7000000240,20241022.0,909,1,,179.0,REFUNDED,CARD,TX-9A8F8BOR2KEG,48090.0
242,7000000241,20241012.0,179,2,1.0,2962.0,PAID,CASH,TX-QH1J5TAC9PFH,71874.0
243,7000000242,,183,1,,1611.0,FAILED,GATEWAY,,46023.24
244,7000000243,20250610.0,536,1,,2922.0,PAID,CARD,TX-CUJ1U5XI18T1,19965.0
245,7000000244,20240914.0,1341,2,1.0,,PAID,CARD,TX-9T0Z6M9ZMXZX,24829.2
246,7000000245,20250509.0,378,2,1.0,,REFUNDED,CASH,TX-6831FEZ0MSG1,48823.5
247,7000000246,,548,1,,476.0,FAILED,GATEWAY,,74596.5
248,7000000247,20241202.0,757,1,,116.0,PAID,GATEWAY,TX-HKUMCISYOXOM,19576.35
249,7000000248,20241028.0,522,2,4.0,2139.0,PAID,TRANSFER,TX-RLOSALSUL8SN,13068.0
250,7000000249,20240421.0,1384,2,3.0,290.0,PAID,CASH,TX-NWGXV38PFITC,47916.0
251,7000000250,20240924.0,473,1,,1994.0,PAID,CARD,TX-32B62346A4RY,52955.25
252,7000000251,20240317.0,1316,2,3.0,1075.0,PAID,CASH,TX-PXPQUBPX8JRW,41382.0
253,7000000252,20240302.0,1356,2,1.0,1674.0,PAID,CASH,TX-2XQZ21XG77FL,53361.0
254,7000000253,20250426.0,266,1,,597.0,REFUNDED,GATEWAY,TX-SMD7KL9INTUO,56018.16
255,7000000254,20241014.0,1359,2,2.0,1810.0,PAID,TRANSFER,TX-YGMEXF9LO4ZZ,25613.28
256,7000000255,20240814.0,843,1,,1968.0,PAID,GATEWAY,TX-5LZ2L2E9EU0G,18687.0
257,7000000256,20241001.0,599,1,,83.0,PAID,GATEWAY,TX-ATXAB0G3YVOL,29659.2
258,7000000257,20250601.0,1048,2,1.0,723.0,PAID,CARD,TX-5ZVOMXW3HB9E,70059.0
259,7000000258,20241229.0,319,1,,1480.0,PAID,CARD,TX-YRH62E21TRBX,35385.0
260,7000000259,20250907.0,846,1,,661.0,REFUNDED,GATEWAY,TX-3JF46DE7KIOS,32805.12
261,7000000260,20241213.0,1491,1,,3128.0,PAID,CARD,TX-XKQN8OY7GNJZ,41130.0
262,7000000261,20250815.0,79,1,,1306.0,PAID,CARD,TX-2BYNCS5834BK,29040.0
263,7000000262,20241120.0,748,1,,862.0,PAID,CARD,TX-KVZBDGVVVVDK,43588.8
264,7000000263,20250101.0,537,1,,987.0,PAID,CARD,TX-SGWN0MODP9NU,49905.0
265,7000000264,20250820.0,303,2,2.0,2401.0,PAID,CARD,TX-M6XK7OX4ROYL,69750.45
266,7000000265,20240429.0,1065,1,,1988.0,PAID,GATEWAY,TX-10MEATDUX63R,64468.56
267,7000000266,20250508.0,606,1,,2324.0,PAID,GATEWAY,TX-SWCAHKTWI9B8,48325.95
268,7000000267,20240301.0,553,1,,1948.0,PAID,CARD,TX-RZNNWXSS3SVY,33870.0
269,7000000268,,656,1,,1668.0,FAILED,CARD,,13794.0
270,7000000269,,786,1,,54.0,FAILED,CARD,,83617.05
271,7000000270,20240216.0,663,2,1.0,1839.0,PAID,CASH,TX-LUUJ7KEX5DEV,14229.6
