nps_response_sk,responded_at_date_id,responded_at_time,customer_sk,comment,channel_sk,score
54,20240705,10:13:55,500,Todo perfecto,1,9
55,20241216,02:55:03,1048,,2,10
56,20240414,19:57:51,19,Entrega rápida y producto excelente,1,7
57,20241005,09:06:36,804,Podría mejorar el empaque,2,7
58,20241023,07:11:59,500,Entrega rápida y producto excelente,2,9
59,20250618,16:46:05,1179,Podría mejorar el empaque,2,7
60,20250405,16:44:09,902,Entrega rápida y producto excelente,2,9
61,20240302,17:49:39,548,Atención muy buena,1,6
62,20240115,01:01:50,1335,Volvería a comprar,1,9
63,20240724,20:38:24,903,,1,10
64,20250426,21:04:24,807,Todo perfecto,1,8
65,20250328,04:27:32,43,Tardó un poco más de lo esperado,2,7
66,20250430,19:36:36,1189,Todo perfecto,2,8
67,20240630,01:24:03,554,Entrega rápida y producto excelente,1,7
68,20250125,05:47:13,1411,Podría mejorar el empaque,1,9
69,20240218,03:58:07,990,Podría mejorar el empaque,1,2
70,20240430,08:18:05,581,Entrega rápida y producto excelente,2,8
71,20250603,03:16:28,1214,Muy conforme con la calidad,2,2
72,20250604,13:38:56,1182,,1,8
73,20241015,02:07:22,56,Muy conforme con la calidad,2,9
74,20240809,20:40:50,1443,Muy conforme con la calidad,1,9
75,20240924,19:46:26,822,Podría mejorar el empaque,1,9
76,20250727,10:40:20,18,Atención muy buena,1,7
77,20241212,16:09:46,436,Podría mejorar el empaque,1,8
78,20240815,02:57:02,558,Volvería a comprar,2,9
79,20250426,08:56:16,1202,Todo perfecto,2,9
80,20241006,13:55:55,1412,Podría mejorar el empaque,2,0
81,20250302,11:16:01,1336,Tardó un poco más de lo esperado,2,6
82,20250916,15:58:29,1336,Muy conforme con la calidad,1,7
83,20241209,15:30:01,1224,,2,10
84,20240728,23:10:32,859,Atención muy buena,1,9
85,20240128,01:51:31,818,Volvería a comprar,1,10
86,20241026,15:24:03,816,Entrega rápida y producto excelente,2,6
87,20241016,16:02:50,653,Muy conforme con la calidad,1,9
88,20241214,22:25:30,1056,Tardó un poco más de lo esperado,1,8
89,20240205,01:27:21,1037,Entrega rápida y producto excelente,1,7
90,20241228,05:03:44,959,Podría mejorar el empaque,2,8
91,20241228,08:55:01,1406,Atención muy buena,1,6
92,20250702,05:34:01,1296,Entrega rápida y producto excelente,1,9
93,20250815,08:13:29,629,Atención muy buena,1,5
94,20240306,17:38:20,439,Tardó un poco más de lo esperado,2,4
95,20250901,07:05:10,1423,Todo perfecto,1,8
96,20240529,18:52:17,1336,Podría mejorar el empaque,2,8
97,20250824,07:59:57,1453,,2,6
98,20240807,05:28:56,722,Podría mejorar el empaque,1,8
99,20240808,11:26:29,616,Volvería a comprar,1,10
100,20240815,19:44:46,1104,Todo perfecto,1,10
101,20241017,21:13:26,1004,Tardó un poco más de lo esperado,1,4
102,20240408,15:38:45,304,Podría mejorar el empaque,2,9
103,20240114,03:49:59,114,Atención muy buena,2,10
104,20241008,07:56:45,248,Entrega rápida y producto excelente,2,9
105,20240518,10:16:29,208,Podría mejorar el empaque,1,5
106,20240120,05:58:36,445,Tardó un poco más de lo esperado,1,10
107,20240214,08:22:10,1304,Volvería a comprar,2,10
108,20240829,09:09:29,1493,Muy conforme con la calidad,1,7
109,20240822,13:36:21,1123,Entrega rápida y producto excelente,1,8
110,20250724,22:30:44,174,Podría mejorar el empaque,2,5
111,20250814,09:41:17,825,Podría mejorar el empaque,1,8
112,20250615,02:46:10,1120,Todo perfecto,2,4
113,20240112,20:11:48,1101,Atención muy buena,1,3
114,20240210,11:28:56,659,Tardó un poco más de lo esperado,2,7
115,20240123,11:07:47,1379,Tardó un poco más de lo esperado,1,7
116,20250920,01:42:57,550,Volvería a comprar,2,9
117,20240314,07:03:19,1177,Todo perfecto,1,7
118,20250607,21:12:25,1149,Todo perfecto,1,9
119,20250602,05:22:07,236,Volvería a comprar,1,9
120,20250203,08:27:37,226,Volvería a comprar,1,9
121,20250210,18:37:18,850,Entrega rápida y producto excelente,2,6
122,20241019,20:28:14,599,Volvería a comprar,1,8
123,20250817,14:30:34,1230,Entrega rápida y producto excelente,2,9
124,20250310,16:20:54,1177,Volvería a comprar,1,7
125,20250119,15:18:51,728,Todo perfecto,1,9
126,20250125,18:25:48,268,Podría mejorar el empaque,2,7
127,20241023,13:31:00,980,Atención muy buena,2,8
128,20240202,03:24:41,902,Muy conforme con la calidad,2,5
129,20240406,20:41:00,800,Podría mejorar el empaque,2,4
130,20250421,06:04:43,1447,Podría mejorar el empaque,1,10
131,20250222,21:56:23,130,Entrega rápida y producto excelente,1,7
132,20250601,13:10:21,1176,Podría mejorar el empaque,2,9
133,20250731,23:17:20,771,Entrega rápida y producto excelente,2,8
134,20241205,19:34:31,158,Atención muy buena,1,0
135,20250612,19:46:53,811,,1,1
136,20241004,04:24:07,1369,Podría mejorar el empaque,1,8
137,20250107,18:36:27,131,Atención muy buena,2,8
138,20240714,11:53:39,69,,2,9
139,20240727,08:37:44,395,Muy conforme con la calidad,1,9
140,20250306,00:15:24,1106,Entrega rápida y producto excelente,2,6
141,20240816,07:39:35,4,Atención muy buena,1,0
142,20250716,23:23:34,292,,1,7
143,20250124,09:56:23,1467,Entrega rápida y producto excelente,1,5
144,20240908,07:10:51,317,Todo perfecto,1,1
145,20250705,03:12:50,1374,Todo perfecto,2,10
146,20240223,15:36:46,607,,1,6
147,20250520,10:57:59,661,,1,8
148,20240530,09:01:29,315,,1,7
149,20241002,23:54:48,522,Podría mejorar el empaque,2,0
150,20241016,22:50:22,697,Entrega rápida y producto excelente,1,2
151,20250526,09:53:04,1351,Todo perfecto,1,5
152,20250311,06:28:35,1209,Tardó un poco más de lo esperado,2,9
153,20240927,01:34:02,93,Tardó un poco más de lo esperado,1,8
154,20250707,20:57:30,8,,2,8
155,20250208,14:01:29,1487,Todo perfecto,1,8
156,20250604,22:40:43,501,,1,9
157,20250705,11:58:50,949,,1,8
158,20250114,13:16:12,745,Atención muy buena,1,10
159,20250916,11:08:21,58,Atención muy buena,2,8
160,20250507,07:34:03,1226,Muy conforme con la calidad,1,9
161,20240331,02:48:46,952,Podría mejorar el empaque,2,8
162,20250718,01:30:02,1424,Podría mejorar el empaque,1,7
163,20250921,13:35:48,146,Volvería a comprar,1,8
164,20250301,17:55:25,831,Todo perfecto,1,3
165,20250804,23:43:06,991,Tardó un poco más de lo esperado,1,0
166,20250111,11:56:27,485,Tardó un poco más de lo esperado,1,8
167,20240812,19:05:31,789,Volvería a comprar,2,4
168,20240326,22:12:53,1456,Entrega rápida y producto excelente,1,1
169,20250619,14:12:30,1341,Todo perfecto,2,8
170,20241215,04:07:03,993,Entrega rápida y producto excelente,1,7
171,20241009,09:38:46,710,,2,8
172,20240922,04:24:43,609,,1,6
173,20250708,03:35:39,763,Tardó un poco más de lo esperado,1,4
174,20250612,15:59:14,1356,Volvería a comprar,1,1
175,20240602,21:10:41,1275,Entrega rápida y producto excelente,2,7
176,20250917,14:12:21,490,Todo perfecto,2,9
177,20240821,18:04:29,523,,1,9
178,20240707,10:21:13,1234,Volvería a comprar,2,9
179,20240806,23:49:16,1163,,1,8
180,20251005,14:51:06,406,Atención muy buena,2,8
181,20250710,06:40:59,835,Volvería a comprar,1,2
182,20250507,01:37:10,320,Volvería a comprar,1,8
183,20250106,04:49:31,414,Muy conforme con la calidad,1,7
184,20240327,09:33:42,1463,,1,9
185,20240726,05:16:35,928,,2,10
186,20250221,03:41:53,643,Podría mejorar el empaque,1,9
187,20250212,07:15:19,999,,2,2
188,20250629,11:26:26,207,Muy conforme con la calidad,1,7
189,20250222,20:24:49,641,Entrega rápida y producto excelente,1,0
190,20251006,13:17:35,1110,Podría mejorar el empaque,1,1
191,20250524,09:29:00,1062,Todo perfecto,1,8
192,20240810,06:34:02,698,,1,1
193,20250629,07:04:50,1236,Todo perfecto,1,10
194,20240510,05:40:54,755,Volvería a comprar,1,8
195,20240731,07:13:57,329,Podría mejorar el empaque,1,7
196,20240925,19:02:18,800,Todo perfecto,1,7
197,20240130,12:03:01,678,Todo perfecto,1,10
198,20240514,08:07:01,1383,Tardó un poco más de lo esperado,1,10
199,20240405,03:29:58,1251,Todo perfecto,1,10
200,20240225,07:28:39,1252,Entrega rápida y producto excelente,1,7
201,20250919,08:42:55,283,Todo perfecto,1,5
202,20240714,17:53:58,907,Todo perfecto,2,2
203,20241225,14:16:39,893,Entrega rápida y producto excelente,1,1
204,20250428,12:51:40,413,Volvería a comprar,2,8
205,20241027,04:13:53,788,Podría mejorar el empaque,2,10
206,20250831,17:23:35,350,Todo perfecto,2,8
207,20240118,11:57:25,758,Muy conforme con la calidad,2,5
208,20250726,13:52:22,699,Muy conforme con la calidad,2,10
209,20240206,02:22:22,689,Tardó un poco más de lo esperado,1,9
210,20240424,04:18:58,348,Tardó un poco más de lo esperado,1,1
211,20250502,23:51:14,974,Entrega rápida y producto excelente,1,9
212,20250728,08:36:03,444,Muy conforme con la calidad,1,7
213,20250906,12:06:06,96,Tardó un poco más de lo esperado,1,9
214,20250119,04:34:47,674,Podría mejorar el empaque,1,7
215,20241110,21:54:58,867,Muy conforme con la calidad,1,8
216,20250726,03:48:53,686,,1,7
217,20240609,04:48:07,640,Todo perfecto,1,10
218,20240810,04:18:48,1191,Entrega rápida y producto excelente,1,9
219,20250524,10:49:55,321,Volvería a comprar,2,5
220,20240928,02:51:20,1045,Entrega rápida y producto excelente,1,3
221,20240113,16:30:11,644,Atención muy buena,2,10
222,20250722,03:52:32,514,Todo perfecto,2,8
223,20250204,00:04:20,649,,1,6
224,20250822,00:27:47,1294,Podría mejorar el empaque,2,5
225,20250807,21:35:53,814,Volvería a comprar,2,4
226,20241206,19:00:31,801,Entrega rápida y producto excelente,1,7
227,20241208,05:31:27,351,Todo perfecto,1,5
228,20241006,12:33:46,838,Todo perfecto,2,8
229,20250514,18:38:37,78,Podría mejorar el empaque,1,6
230,20241220,21:23:08,1338,Podría mejorar el empaque,1,2
231,20240601,06:59:29,182,,2,7
232,20241122,19:15:20,560,Atención muy buena,1,4
233,20240407,16:45:28,1390,,1,6
234,20241229,14:09:56,130,Tardó un poco más de lo esperado,2,4
235,20250514,11:19:02,1143,Muy conforme con la calidad,2,2
236,20250418,06:39:34,223,Atención muy buena,2,7
237,20240216,09:22:11,622,Volvería a comprar,1,2
238,20240609,07:31:20,1328,Muy conforme con la calidad,1,9
239,20240227,03:41:54,1192,Tardó un poco más de lo esperado,1,7
240,20240621,11:15:26,119,Tardó un poco más de lo esperado,1,2
241,20250813,08:06:16,1115,Podría mejorar el empaque,1,8
242,20240421,20:33:27,49,Todo perfecto,1,8
243,20250903,15:53:22,1133,Muy conforme con la calidad,2,5
244,20250716,13:29:06,193,Volvería a comprar,1,9
245,20240128,15:36:48,539,Tardó un poco más de lo esperado,1,6
246,20250326,17:15:42,200,Podría mejorar el empaque,1,7
247,20240125,18:58:03,1084,Podría mejorar el empaque,1,10
248,20240506,19:36:29,422,Entrega rápida y producto excelente,2,10
249,20240905,20:52:06,348,Entrega rápida y producto excelente,2,6
250,20250918,04:22:11,951,Volvería a comprar,1,9
251,20241126,08:33:35,251,Tardó un poco más de lo esperado,2,7
252,20250122,14:00:56,26,Atención muy buena,1,8
253,20250314,10:37:47,1063,Volvería a comprar,2,6
254,20240202,07:25:07,271,Podría mejorar el empaque,1,8
255,20250120,17:53:26,567,Entrega rápida y producto excelente,1,9
256,20250723,13:34:36,254,Atención muy buena,1,9
257,20240405,13:11:38,66,Entrega rápida y producto excelente,2,6
258,20250105,17:33:23,518,Entrega rápida y producto excelente,1,0
259,20240626,09:14:20,603,Tardó un poco más de lo esperado,1,7
260,20240130,11:44:33,321,,1,4
261,20250531,18:10:31,1210,Tardó un poco más de lo esperado,2,9
262,20250209,15:21:46,407,Atención muy buena,2,7
263,20250102,20:37:23,996,Podría mejorar el empaque,2,9
264,20241103,14:07:34,1192,Tardó un poco más de lo esperado,2,8
265,20240812,17:24:03,221,Podría mejorar el empaque,1,1
266,20250724,23:55:00,1189,Muy conforme con la calidad,1,6
267,20240723,10:11:38,1230,Todo perfecto,1,9
268,20241208,19:33:05,244,Podría mejorar el empaque,1,6
269,20241029,22:00:32,416,Entrega rápida y producto excelente,1,6
270,20241021,10:02:42,289,,2,7
271,20240907,23:46:39,233,Todo perfecto,1,0
272,20250319,18:26:54,300,Todo perfecto,1,7
273,20241004,18:45:15,1066,Atención muy buena,1,5
274,20240207,11:26:10,854,Atención muy buena,2,10
275,20240127,18:27:33,1339,Tardó un poco más de lo esperado,1,7
276,20241227,00:49:20,484,Todo perfecto,1,10
277,20240112,16:25:54,948,Entrega rápida y producto excelente,1,6
278,20241122,09:01:45,713,Tardó un poco más de lo esperado,1,6
279,20250422,01:42:26,1466,Entrega rápida y producto excelente,1,9
280,20250616,01:31:53,426,Atención muy buena,1,7
281,20250304,15:40:25,1313,Todo perfecto,1,0
282,20240716,22:57:22,995,Muy conforme con la calidad,1,4
283,20250312,17:12:20,499,Tardó un poco más de lo esperado,1,8
284,20250307,13:54:08,1408,Tardó un poco más de lo esperado,2,7
285,20250311,19:06:17,498,Entrega rápida y producto excelente,1,8
286,20241124,19:10:47,840,Muy conforme con la calidad,1,6
287,20250210,07:29:10,92,Tardó un poco más de lo esperado,1,9
288,20251006,14:11:47,1449,Tardó un poco más de lo esperado,2,9
289,20250929,22:07:10,1129,Entrega rápida y producto excelente,2,7
290,20241127,19:02:18,972,,2,8
291,20250917,21:39:47,260,Volvería a comprar,2,8
292,20240123,05:42:51,683,Tardó un poco más de lo esperado,2,4
293,20250427,06:06:59,1042,Volvería a comprar,1,2
294,20240307,13:04:16,1422,Muy conforme con la calidad,1,6
295,20240309,16:19:23,1347,,2,9
296,20250218,21:20:29,705,Muy conforme con la calidad,2,8
297,20250620,06:52:08,1306,Entrega rápida y producto excelente,2,10
298,20241206,01:33:41,327,Entrega rápida y producto excelente,2,0
299,20240313,12:57:11,1119,Podría mejorar el empaque,1,5
300,20250720,15:58:08,2,Muy conforme con la calidad,1,10
301,20240225,12:08:47,988,Podría mejorar el empaque,1,8
302,20250708,11:01:03,1485,Atención muy buena,1,8
303,20250717,06:47:48,791,Volvería a comprar,1,8
304,20250429,12:01:36,204,Podría mejorar el empaque,1,9
305,20240504,00:45:45,22,Entrega rápida y producto excelente,2,8
306,20250105,20:34:12,510,,2,1
307,20240406,13:36:01,614,,2,9
308,20241222,14:50:59,27,Podría mejorar el empaque,2,9
309,20250721,03:34:38,1319,Todo perfecto,2,6
310,20241117,01:33:45,845,Volvería a comprar,1,9
311,20250714,12:14:03,783,Muy conforme con la calidad,2,5
312,20250826,18:08:04,1350,,1,9
313,20250817,04:54:53,773,Todo perfecto,1,7
314,20241027,01:01:22,1457,Tardó un poco más de lo esperado,1,4
315,20241013,16:39:39,1488,Atención muy buena,1,9
316,20240904,12:14:01,1286,Muy conforme con la calidad,1,10
317,20250830,13:56:58,1306,Tardó un poco más de lo esperado,1,9
318,20240209,21:16:04,397,Podría mejorar el empaque,2,8
319,20240330,09:14:25,341,Entrega rápida y producto excelente,1,4
320,20250523,00:58:37,1475,Entrega rápida y producto excelente,2,9
321,20240212,10:05:49,963,Entrega rápida y producto excelente,1,5
322,20240614,01:31:03,423,Todo perfecto,1,9
323,20240418,20:56:37,1176,Entrega rápida y producto excelente,2,9
324,20240410,04:28:29,1128,Tardó un poco más de lo esperado,2,8
325,20250914,05:14:26,56,Todo perfecto,1,8
326,20240424,06:04:28,389,Atención muy buena,2,5
327,20250327,23:38:23,598,Podría mejorar el empaque,2,9
328,20240602,12:00:35,2,Todo perfecto,2,7
329,20250304,06:11:26,118,Volvería a comprar,2,8
330,20250618,02:07:23,835,,1,10
331,20241102,13:43:36,554,Todo perfecto,1,7
332,20250930,17:10:37,371,,1,10
333,20250609,17:39:53,965,Volvería a comprar,1,9
334,20250215,19:51:47,687,Atención muy buena,2,6
335,20241218,18:28:50,516,,1,9
336,20250506,05:04:25,1295,Volvería a comprar,2,8
337,20240904,23:59:05,660,Tardó un poco más de lo esperado,1,4
338,20251005,16:30:15,838,,2,8
339,20241011,21:10:53,447,Atención muy buena,2,8
340,20240314,13:07:31,1187,Volvería a comprar,2,4
341,20250701,22:15:09,1457,Entrega rápida y producto excelente,1,7
342,20241104,09:51:44,16,Podría mejorar el empaque,1,7
343,20240620,14:29:54,1421,Tardó un poco más de lo esperado,1,0
344,20240813,11:17:08,861,Muy conforme con la calidad,1,9
345,20241008,06:24:47,515,Todo perfecto,1,2
346,20240518,01:52:36,280,Entrega rápida y producto excelente,1,10
347,20240908,07:35:57,829,Podría mejorar el empaque,1,7
348,20250721,07:27:52,1319,Entrega rápida y producto excelente,1,10
349,20250703,19:30:51,682,Tardó un poco más de lo esperado,1,10
350,20250918,21:46:37,649,Entrega rápida y producto excelente,1,7
351,20240803,22:57:18,1041,Todo perfecto,1,8
352,20241020,10:29:55,559,Tardó un poco más de lo esperado,2,9
353,20250714,19:31:33,1187,Muy conforme con la calidad,2,9
354,20250409,11:40:03,786,Todo perfecto,1,6
355,20250223,05:35:01,1104,Todo perfecto,1,6
356,20250730,02:43:33,505,Volvería a comprar,2,4
357,20241113,15:27:07,436,Atención muy buena,1,0
358,20250817,16:44:56,366,Atención muy buena,1,5
359,20240517,10:00:31,829,Tardó un poco más de lo esperado,2,8
360,20240411,06:42:29,570,Atención muy buena,1,5
361,20240413,13:46:37,573,Entrega rápida y producto excelente,2,10
362,20240413,23:51:40,63,Todo perfecto,1,8
363,20250503,03:08:57,140,Muy conforme con la calidad,1,10
364,20240307,12:17:06,650,Volvería a comprar,2,9
365,20240529,09:44:37,558,Volvería a comprar,1,7
366,20240518,00:10:14,498,,2,9
367,20240527,15:06:16,1337,Podría mejorar el empaque,2,10
368,20250406,06:02:54,192,Volvería a comprar,1,9
369,20241007,15:22:24,523,Tardó un poco más de lo esperado,1,1
370,20250506,14:30:44,1009,Entrega rápida y producto excelente,1,5
371,20250310,21:56:33,1079,Atención muy buena,1,8
372,20250530,16:31:12,809,Podría mejorar el empaque,1,9
373,20240205,15:14:36,332,Atención muy buena,1,8
374,20241110,09:06:51,397,Tardó un poco más de lo esperado,1,8
375,20240212,19:29:29,950,Tardó un poco más de lo esperado,2,8
376,20241227,07:39:39,950,Todo perfecto,1,10
377,20240310,15:27:59,1071,Tardó un poco más de lo esperado,1,7
378,20240810,15:00:09,27,Atención muy buena,1,5
379,20240525,14:47:01,1063,Muy conforme con la calidad,1,5
380,20240809,06:45:53,930,Atención muy buena,1,10
381,20241114,03:09:21,1435,Podría mejorar el empaque,2,1
382,20240408,15:25:23,258,Atención muy buena,2,10
383,20240211,14:11:42,847,Volvería a comprar,1,4
384,20240901,08:42:48,921,Muy conforme con la calidad,2,10
385,20250111,08:34:53,1231,Tardó un poco más de lo esperado,1,7
386,20250526,13:14:53,292,Podría mejorar el empaque,1,10
387,20241019,19:15:44,325,Volvería a comprar,2,3
388,20250311,05:25:38,921,Atención muy buena,2,3
389,20250524,10:15:38,248,,1,2
390,20240811,22:25:54,754,,1,8
391,20240422,05:36:10,708,,1,9
392,20250505,20:20:04,48,Podría mejorar el empaque,1,6
393,20240505,11:43:38,786,Atención muy buena,2,5
394,20240619,08:24:55,382,,1,4
395,20250214,13:53:26,895,Tardó un poco más de lo esperado,1,6
396,20250211,12:31:51,821,Entrega rápida y producto excelente,1,7
397,20240315,03:58:38,1032,Todo perfecto,1,9
398,20250510,13:40:09,1262,Todo perfecto,1,1
399,20240821,05:06:57,153,Muy conforme con la calidad,1,9
400,20250804,08:56:25,816,Todo perfecto,1,1
401,20240207,18:17:19,237,Todo perfecto,1,7
402,20240331,16:15:16,589,Podría mejorar el empaque,2,10
403,20250814,00:50:22,249,Atención muy buena,2,6
404,20241214,23:38:05,1130,Volvería a comprar,2,2
405,20250623,15:32:22,455,Volvería a comprar,1,3
406,20250323,14:06:40,1306,Podría mejorar el empaque,1,0
407,20241127,17:42:26,1359,Atención muy buena,1,9
408,20240918,23:36:33,696,Volvería a comprar,1,7
409,20240906,13:25:59,867,Todo perfecto,1,7
410,20241101,22:51:39,690,Podría mejorar el empaque,1,10
411,20250316,23:22:31,14,Volvería a comprar,1,7
412,20241212,15:04:04,259,,2,2
413,20240123,14:46:59,334,Todo perfecto,1,3
414,20240721,02:53:44,574,Todo perfecto,1,9
415,20240530,12:30:57,716,Volvería a comprar,1,10
416,20241216,05:28:42,204,Todo perfecto,2,8
417,20250620,21:21:38,624,Volvería a comprar,2,10
418,20240819,21:17:35,535,Volvería a comprar,1,9
419,20240810,05:31:51,522,Entrega rápida y producto excelente,1,7
420,20250415,10:21:44,589,Tardó un poco más de lo esperado,1,9
421,20250112,08:48:59,1485,Muy conforme con la calidad,1,9
422,20240824,13:39:39,544,Volvería a comprar,1,9
423,20250104,19:48:25,253,Atención muy buena,1,9
424,20240708,22:43:21,520,Podría mejorar el empaque,1,8
425,20250216,22:04:20,1339,Volvería a comprar,1,8
426,20240510,02:04:28,800,Tardó un poco más de lo esperado,1,10
427,20240703,17:44:38,782,Entrega rápida y producto excelente,2,9
428,20250831,00:49:08,488,Tardó un poco más de lo esperado,2,3
429,20250212,09:10:12,1074,Todo perfecto,1,6
430,20241226,22:27:44,789,Muy conforme con la calidad,2,9
431,20250610,08:35:10,951,Tardó un poco más de lo esperado,1,3
432,20250406,21:49:25,1210,,1,8
433,20250424,13:15:22,977,Volvería a comprar,2,3
434,20250825,15:59:07,489,Tardó un poco más de lo esperado,2,8
435,20240609,22:10:48,1192,Entrega rápida y producto excelente,2,9
436,20241011,10:47:13,1461,Volvería a comprar,2,5
437,20250714,13:59:10,28,Volvería a comprar,1,6
438,20240714,02:59:21,459,,2,9
439,20240510,19:36:43,756,Entrega rápida y producto excelente,1,2
440,20240122,09:35:45,1495,Podría mejorar el empaque,1,8
441,20240307,10:30:38,584,Todo perfecto,1,7
442,20251005,19:26:03,703,Atención muy buena,1,2
443,20240121,05:12:12,1309,Atención muy buena,2,7
444,20250601,03:50:23,323,Muy conforme con la calidad,2,7
445,20250824,15:48:52,90,Muy conforme con la calidad,1,8
446,20250113,09:23:46,761,Tardó un poco más de lo esperado,1,5
447,20250426,12:54:41,999,,1,9
448,20250405,23:58:27,85,Entrega rápida y producto excelente,1,9
449,20250725,21:12:23,405,Podría mejorar el empaque,1,8
450,20241124,03:49:06,336,Muy conforme con la calidad,2,2
451,20240707,20:27:21,179,Entrega rápida y producto excelente,1,9
452,20240506,04:42:04,682,Entrega rápida y producto excelente,2,8
453,20250603,23:08:04,862,Tardó un poco más de lo esperado,2,8
454,20250416,03:09:01,1218,Todo perfecto,1,5
455,20250610,11:48:50,31,Todo perfecto,1,7
456,20250311,10:47:21,154,,1,10
457,20250726,17:33:15,1049,Podría mejorar el empaque,2,10
458,20250607,01:08:36,586,Atención muy buena,1,10
459,20240907,22:23:30,425,Volvería a comprar,2,10
460,20240312,04:35:22,1235,Podría mejorar el empaque,1,8
461,20240522,23:27:23,52,Tardó un poco más de lo esperado,1,10
462,20250108,05:40:16,78,Entrega rápida y producto excelente,2,3
463,20241215,10:40:54,405,Entrega rápida y producto excelente,1,7
464,20250607,14:39:48,381,Podría mejorar el empaque,2,7
465,20241002,05:22:07,284,Podría mejorar el empaque,1,10
466,20240422,04:28:48,867,Tardó un poco más de lo esperado,1,0
467,20240915,20:41:52,626,,1,8
468,20241129,16:47:27,195,Entrega rápida y producto excelente,1,9
469,20240604,01:25:58,467,Tardó un poco más de lo esperado,1,7
470,20250302,09:53:39,1107,Tardó un poco más de lo esperado,2,7
471,20240125,14:37:53,580,Muy conforme con la calidad,1,8
472,20240402,06:17:25,942,Todo perfecto,2,7
473,20250628,09:43:25,1354,Podría mejorar el empaque,2,10
474,20240209,10:37:09,540,Muy conforme con la calidad,1,4
475,20250723,03:05:56,1161,Entrega rápida y producto excelente,1,6
476,20250809,07:58:07,895,Todo perfecto,1,8
477,20240716,18:47:00,399,,1,6
478,20250808,21:13:19,77,Tardó un poco más de lo esperado,1,10
479,20250827,01:30:25,754,,2,0
480,20240818,14:21:10,1253,Podría mejorar el empaque,1,7
481,20240717,06:17:50,1117,Muy conforme con la calidad,1,6
482,20250722,06:06:19,413,Volvería a comprar,1,6
483,20250608,22:38:52,40,Atención muy buena,2,8
484,20241009,02:40:49,403,Entrega rápida y producto excelente,1,1
485,20240827,21:39:13,1482,Todo perfecto,1,6
486,20241222,18:12:56,790,Podría mejorar el empaque,1,9
487,20240822,20:46:41,891,Entrega rápida y producto excelente,1,0
488,20250611,19:29:56,819,Muy conforme con la calidad,2,7
489,20240513,07:15:51,474,,2,9
490,20250408,10:13:44,1332,Entrega rápida y producto excelente,1,8
